index,event_id,filename,anumber,sentence_count,report_type,sentence_idx,sentence_triggers,event_text,label,lower_idx,upper_idx,DATE,LOCATION,MINERAL,ORE_DEPOSIT,ROCK,STRAT,TIMESCALE,TRIGGER
1075,a093990_annual report 20120618_e77_1648_12564418_38,a093990_annual report 20120618_e77_1648_12564418.json,93990,85,Annual,38,mineralization,"5 2.2 Local Geology E77/1648-I is located 50 km east of Cliffs Asia Pacific Iron Ore Pty Ltd Mt Jackson mining centre. Significant mineralization within the Mt Jackson mining centre consists of: 2.2.1 J1 Deposit This deposit forms a prominent ridge at the western end of the Mount Jackson Range and is exposed over a strike length of approximately 2km and dipping to the north east at 80 to 85 degrees. The sedimentary hanging wall suite is comprised of BIF, meta-sediments and black shale with pyritic mineralization. The foot wall to mineralisation is basalt. A hydrated cap of usually vitreous goethite overlies the primary mineralisation of thick macroporous goethite interspersed with thin hydro-hematite zones.",False,38,38,,"Cliffs, Jackson, Jackson, Mount Jackson","goethite, goethite, hematite",Iron Ore,"BIF, sediments, black shale, basalt",,,"Significant, mineralization, mineralization, mineralisation, mineralisation"
633,a081133_c198_2007_text_2008a_15349268_260,a081133_c198_2007_text_2008a_15349268.json,81133,476,Annual,260,significantly,"There are a substantial number of additional constraints and relationships on the database to keep the integrity of the database at a high standard. At some stage in the coming six or so months, it is recommended that the FerrAus Database be audited by Senior Staff at Maxwell GeoServices in order to check that no major relationships/constraints etc. have been dropped or significantly altered. A couple of further recommendations are below: Ensure all Alpha records are less than 90 degrees in tblDHStructureOrient Ensure all Beta records are between 0 and 360 degrees in tblDHStructureOrient Ensure all Recovery_Pct values in tblDHCoreRecovery are all reasonable values. The constraint was changed to allow up to 2000% in order for all data to be loaded through.",False,260,260,the coming six or so months,,,,,,,"substantial, significantly"
860,a086644_m24_39_ 2009a_8567832_56,a086644_m24_39_ 2009a_8567832.json,86644,163,Annual,56,"high grade, mineralisation","Hydromorphic activity is also favoured in structurally prepared weathering zones, which accounts for the more localised nature of high grade Ni-Co mineralisation. The prospective (for nickel laterite mineralisation) eastern Kalpini ultramafic sequence is formed by a range of komatiite lithologies within a single thick, fractionated flow unit.",True,56,57,,,nickel,,"laterite, komatiite",,,"high grade, mineralisation, prospective, mineralisation"
1050,a092677_e53_1525_2011a_14832057_97,a092677_e53_1525_2011a_14832057.json,92677,160,Annual,97,"potential, prospect, encouraging, prospects","Both these sets of former workings appear to be on line with the Forked Stick East structure. Two samples taken from Otho, 440m further east from Alban and where minor former workings are hosted by sheared ultramafics, returned 0.55 ppm Au, YARS059, and 0.11 ppm Au, YARS058. These samples are not considered to be representative of the potential of any prospect, however they are encouraging in that certain of the prospects have received only limited previous exploration. One rockchip sample was collected from E53/1525. The rockchip sample locations are shown on Figure 5.",False,97,98,,,,,,,,"potential, prospect, encouraging, prospects"
748,a084342_mandilla_2009_m15_633_e15_789_annual_16231744_473,a084342_mandilla_2009_m15_633_e15_789_annual_16231744.json,84342,586,Annual,473,significant,"Figure 1 Mandilla Project Location Figure 2 Mandilla Tenement Location Figure 3 Regional Geology Figure 4 Local Geology Figure 5 East Mandilla Schematic Long Section Figure 6 East Mandilla Deposit Optimal Pit Design Figure 7 Mandilla Project Bedrock Anomaly Summary Plan White Range Gold involved steep high grade quartz reefs with Quartzite walls. Significant dilution was incurred at this mine because of the necessity to blast ore and waste simultaneously. The introduction of a wet trommel screen after the crushing process at this mine reduced the ore stream by approximately 40% and saved unnecessary grinding and treatment costs. Location: The Mandilla Project is located 60 km south of Kalgoorlie and 20 km south west of Kambalda, in the Eastern Goldfields Province of Western Australian .",False,473,474,,"Long, Kalgoorlie, south west, Kambalda, Goldfields","Gold, quartz",,"Bedrock, Quartzite",,,"high grade, Significant"
54,a079257_full compilation of report_16797693_127,a079257_full compilation of report_16797693.json,79257,163,Annual,127,mineralisation,"It appears to have been discovered in the early 1950s, as a result of ground prospecting activities of United Uranium. It is not clear whether United Uraniums airborne radiometric survey of the area contributed to the discovery. No United Uranium report has been sighted by the present author, but a Rio Tinto Report of 1955 describes the mineralisation as being on fracture surfaces within, and adjacent to, coarse fault breccia zones which have been intruded by dolerite. The identified uranium mineralisation (mostly torbernite) is hosted by both granite and dolerite, as well as by the breccia clasts which include both Proterozoic sediment and granite. The fault breccia was interpreted to be part of the Dunham Fault (Denham Fault Zone).",False,127,127,"the early 1950s, 1955",Denham,torbernite,"Uranium, Uraniums, Uranium, uranium","fault breccia, dolerite, granite, dolerite, breccia, sediment, granite, fault breccia",,Proterozoic,"discovered, mineralisation, mineralisation"
320,a074492_battler_glendower_2006_combined_annual_report_13969668_118,a074492_battler_glendower_2006_combined_annual_report_13969668.json,74492,755,Annual,118,proposed,"St Barbara Limited 1 2 POLARIS METALS NL Report number 2007-7 SUMMARY OF MINERAL EXPLORATION ACTIVITIES During the reporting period 1 November 2005 to 31 October 2006 Polaris Metals NL completed: a review and update of the previous optimisation study of the Battler gold resource. an extensive drillhole rehabilitation program over the Battler deposit. an Independent Geological Study of the Battler-Glendower project forming part of a proposed new float, Regatta Resources Limited FIGURES Figure 1 Location Map. 9 Figure 2 Tenements. INTRODUCTION The Battler-Glendower Project is managed by Polaris Metals NL, the holder of the tenements.",False,118,118,October 2006,,gold,,,,,"optimisation, extensive, proposed"
594,a080573_c28_1997_2008a_15225641_1403,a080573_c28_1997_2008a_15225641.json,80573,1522,Annual,1403,could be,"The taxon needs urgent survey and evaluation of conservation status before consideration can be given to declaration as threatened fauna. Priority Four Taxa in need of monitoring. (P4) Taxa which are considered to have been adequately surveyed, or for which sufficient knowledge is available, and which are considered not currently threatened or in need of special protection, but could be if present circumstances change. These taxa are usually represented on conservation lands. Priority Five Taxa in need of monitoring.",False,1403,1403,,,,,,,,could be
937,a088191_for_c261_1997_2010a_14726625_224,a088191_for_c261_1997_2010a_14726625.json,88191,1814,Annual,224,possible,"OftheMLEMsurveys,onlythe2008surveyusingtheB?FieldSQUIDsensorisconsideredgoodqualityand effective in termsof identifying significantbedrockconductors.Figure2 shows theareacoveredby this surveyandthetwootherMLEMprogrammesfrom2004and2006,whichareconsideredpoorquality.The 2006surveyinparticularisanextremelynoisydatasetandnotmuchbetterthanastratigraphicconductor identifier.Althoughpartoftheareacoveredbythe2006surveyhasnowbeenflownwithVTEM,thatdoes notmeantheareahasnowbeeneffectivelytestedwithanappropriateEMmethod.TheVTEMsystemin reality isonlyarelativelyshallowpenetratingtechnique,sodeeperand/orhighlyconductivetargetscan stillbeundetectable.At some stage, furthergroundbasedEM in theseparticularareasandanyothers consideredprospectiveshouldbehighontheprioritylist. Fivenewanomalieshavebeen identified fromthehistoricalgroundEMsurveys.Allrequiresomesortof ground EM follow?up to confirm, except for target F2 which has been effectively modelled and recommendedfordrilltesting.AsummaryofeachanomalyisincludedinTable1. ApproxLocation Comments/Recommendations M1 750300E,6416450N WestofBeautifulSundaydeposit.Possible, short strike length,high conductancetargetidentifiedin2006MLEM.Withinlowinmagnetic image, approx 1km east of barren massive sulphides (pyrrhotite) drilled by Image Resources. Recommend FLEM approx 2?3 days, $10k.Mediumpriority. M2 750150E,6421450N Veryinterestinglocationoffsetfrommaintrendsandassociatedwith localisedmagnetic feature.Anomalous Pb,Au,Ag geochem but no nickelsocouldbeadifferentdeposittypeseeFigure3.Orientation ofsourceuncertainsorecommendfurtherMLEM.Highpriority.",False,224,224,2?3 days,,"sulphides, pyrrhotite",,,,,"Possible, Anomalous"
914,a087700_pad_mer_10_vol1_17392978_94,a087700_pad_mer_10_vol1_17392978.json,87700,860,Annual,94,mineralization,"The results of the optimisation study indicated relatively minor surpluses compared to the September 2008 optimization. This surplus is relatively low and it is anticipated that when pit designs are completed, the surplus can be easily erased hence it is not economical to mine the Bellevue deposit at this time. In April 2009, an infill drilling programme was designed to extend the western and northern end of the Bellevue gold mineralization in an attempt to further increase the resource estimate. In June 2009, the drilling programme was undertaken. A total of 14 drillholes for 1175 metres was completed.",False,94,95,"September 2008, April 2009, June 2009",,gold,,,,,"optimisation, mineralization"
434,a076906_c210-2007-2007a_pe_17072026_64,a076906_c210-2007-2007a_pe_17072026.json,76906,395,Annual,64,prospect,"Four metre composite samples were also collected and submitted for analysis for all drillholes. The one metre samples were submitted for intervals with visible alteration (quartz veining, sericite-chloritesulphidecarbonate alteration). A total number of 9 Aircore holes for 153m were drilled in QE1 South prospect to follow up anomalies from previous drilling (Table 9. and Figure 7. A total number of 40 Aircore holes for 1972m were drilled to test paleochannel; lignite-and gravel-bearing sands at base of paleochannel (Table and Figure ). Aircore Drilling Program, Lake Penny Prospect Prospect Tenement Hole ID HoleType Azi Dip Number Holes Total metres Target/Comment Lake Penny Paleo- channel E25/273 RYAC039-RYAC067 AC 0 -90 29 1390m Test paleochannel; lignite- and gravel-bearing sands at base of paleochannel E27/291 RYAC068-RYAC078 AC 0 -90 11 582m Test paleochannel; lignite - and gravel-bearing sands at base of paleochannel Total 1972m Figure 8.",False,64,64,1972,,"quartz, sericite",,"lignite, gravel, sands, gravel, sands, lignite, gravel, sands",,,prospect
1133,a096566_e5700871_2011-12_final_surrender_16317612_28,a096566_e5700871_2011-12_final_surrender_16317612.json,96566,122,Final Surrender,28,"prospective, mineralisation",CRA obtained this intersection testing an EM anomaly. More recently Gateway Mining obtained anomalous copper and zinc values in RAB holes in the vicinity of the Eds Bore Donkey Well unit. The Eds Bore Donkey Well unit is prospective for VMS style base metal mineralisation. Prospectivity of this unit is dependent on the effectiveness of the geophysical surveys conducted by CRA in the early 80s and the subsequent drill follow-up. A review of the geophysical data by geophysical consultants is recommended.,False,28,29,the early 80s,,"copper, zinc","VMS, base metal",,,,"anomalous, prospective, mineralisation, Prospectivity"
1215,a099754_e08-2178_hamersley range_atr_2012-13_11955560_202,a099754_e08-2178_hamersley range_atr_2012-13_11955560.json,99754,419,Annual,202,"potentially, mineralised","The second zone was located SW of this trend, and was initially witnessed from across the south side of a local creek during the 1st day's observations. The trend of this zone across the creek was not directly observed, but extensive quartz lag just off the northern boundary of the tenement is possibly related to a more extensive zone of alteration and veining. An additional main area of potentially mineralised veining occurs in an area immediately off an access track in the NE area of the tenement. Extensive quartz veining was found near the eastern boundary of the tenement, exhibiting similar width zones and individual vein dimensions to that detected over the NW part. As mentioned previously, veining at this site seemed more localised, decreasing in intensity along strike to the NW and becoming patchier.",False,202,203,the 1st day's,,"quartz, quartz",,lag,,,"trend of, extensive, possibly, extensive, potentially, mineralised, Extensive, patchier"
941,a088256_e31_454a10_11142761_35,a088256_e31_454a10_11142761.json,88256,36,Annual,35,prospect,"Hawthorn Resources Limited A.C.N. Hawthorn Resources Limited ABN 44 009 157 439 SAVANNAH PROJECT E31/454 ANNUAL REPORT FOR THE PERIOD 6 February 2009 TO 5 February 2010 BY Ian Moody PRIVATE AND CONFIDENTIAL NOT TO BE COPIED OR DISTRIBUTED DISTRIBUTION: Department of Minerals & Petroleum, Perth Hawthorn Resources Limited, Melbourne Level 2, 90 William Street, Melbourne 3000 Hawthorn Resources Limited A.C.N. PROJECT: Savannah PROSPECT: TENEMENTS: E31/454 REPORTING PERIOD: 6 February 2009 to 5 February 2010 AUTHOR: Ian Moody",False,35,35,"ANNUAL, THE PERIOD, February 2010, 6 February 2009 to 5, February 2010","SAVANNAH, Perth, Savannah",,,,,,
1375,a107293_figure 10 petrography images_60,a107293_figure 10 petrography images.json,107293,347,Final Surrender,60,patchy,"It is speculated that the matrix might have locally contained traces of fine grained sulphides (e.g. pyrite), that were subsequently destroyed by supergene oxidation. The rock has patchy minor impregnation by supergene goethite and hematite, mainly in the matrix, but also locally coating detrital grains (Fig. The textural and compositional characteristics of the rock indicate that it is a medium grained, quartz-rich sandstone (orthoquartzite). b) Alteration and structure: It is interpreted that the rock underwent diagenetic alteration that largely affected the matrix, with subsequently imposed supergene alteration.",False,60,61,,,"sulphides, pyrite, goethite, hematite, quartz",,"sandstone, orthoquartzite",,,patchy
398,a075934_c232_1994_biblio_datasheet_15204645_4,a075934_c232_1994_biblio_datasheet_15204645.json,75934,5,Annual,4,"significant, potential, increase the existing, further drilling","Conclusions: The significant intersects enhance the potential to increase the existing resource at Whistler, and thus further drilling is warranted.",True,4,4,,,,,,,,"significant, potential, increase the existing, further drilling"
1344,a105519_e51-1586_2015p_verification report_10,a105519_e51-1586_2015p_verification report.json,105519,12,Partial Surrender,10,"potential, significant, mineralisation, prospective","Both sequences have been intruded by granitic and acidic porphyritic dykes. Work done: During the reporting period no field work has been conducted within the surrendered blocks of the E51/1586. Results: N/A Conclusions: The surrendered areas are considered to have a low potential for significant gold mineralisation and therefore the Company intends to focus on the more prospective retained blocks of the tenement. Soil Sample Station Date : 22/04/2015Author : JC Exploration Index Plan Corona Project GDA94 MGA Zone 50 Scale : 1:75,000 @ A5 Retained Blocks Surrendered Blocks VERIFICATION LISTING FORM Exploration work type File Name Format Office Studies Literature search Database compilation Computer modelling Reprocessing of data General research Report preparation E51-1586_2015P.pdf pdf Other (specify) Airborne exploration surveys Aeromagnetics Radiometrics Electromagnetics Gravity Digital terrain modelling Other (specify) Remote sensing Aerial photography",False,10,10,,,gold,,,,,"potential, significant, mineralisation, prospective"
692,a082152_e63_1090 annual report 2008_2009_15788810_117,a082152_e63_1090 annual report 2008_2009_15788810.json,82152,146,Annual,117,possible,These thrusts have been compressed into upright folds with N-S fold axes by D2 E-W compression. The target is situated near a regional fold nose and is interpreted to fall within an extensional environment. A possible D3 NE fault cuts through the tenement. These faults are known to remobilise and concentrate gold mineralisation within the Yilgarn Craton e.g. Kanowna Belle and Kambalda.,False,117,117,,"Yilgarn Craton, Kanowna Belle, Kambalda",gold,,,,,"possible, mineralisation"
110,a086095_part a - atr__c52-2002_year2009_multiple-pdf_14681300_388,a086095_part a - atr__c52-2002_year2009_multiple-pdf_14681300.json,86095,1474,Annual,388,significant,The three northernmost drillholes showed strong shearing indicating extension of the shear to the north but nonmineralised. Analyses of structural measurements of these diamond drillholes indicated a steep but westerly dipping shearing and foliation and occasional easterly dipping ones. Summary of significant assay results received are as shown in . An IP/Resistivity orientation survey was conducted over the Athena/Hamlet area and a borehole was surveyed with borehole radar. The Athena/Hamlet prospect is situated approximately 27km southeast of Kambalda and 12km south of the Lefroy Mill at St Ives Gold Mine.,False,388,390,,"Athena, Hamlet, Athena, Hamlet, Kambalda, St Ives Gold Mine",diamond,,,,,"significant, prospect"
92,a084479_bb_2009s_12049469_680,a084479_bb_2009s_12049469.json,84479,813,Final Surrender,680,mineralised,"Radial and multiple fault intersects with alteration areas peripheral to shear zones. Intrusive granitoid sites. Localised alteration or fault block boundaries, related to mineralised fluids. 15 6.0 IMAGE ENHANCEMENT INTERPRETATION The combined single band and multi band ratioed data sets have highlighted: 1. Major fault controlled geological boundaries 2.",False,680,680,,,,,granitoid,,,mineralised
1366,a106553_p58_1348_2015s_89,a106553_p58_1348_2015s.json,106553,114,Final Surrender,89,delineated,"- Equivalent Magnetometric Resistivity (EQMMR) grid data, corrected for magnetic inclination and declination and; - Total Field ElectroMagnetic (TFEM) grid data. Interpretation from GAP Ltd considered all the area tested by Sub-Audio Magnetics and therefore is not only limited to P58/1348. The SAM survey has delineated a series of predominantly northwest trending units, and multiply oriented structures, of varying conductive and magnetic response. The magnetic data can be used to differentiate between BIF, ultramafic, mafic and felsic lithologies. The Magnetometer Conductivity (MMC) data can be used to delineate major shear zones and conductive trends.",False,89,90,,,,,BIF,,,"delineated, delineate"
392,a075861_empire troy creek rpt e69-1486-07_11548875_178,a075861_empire troy creek rpt e69-1486-07_11548875.json,75861,254,Annual,178,"prospect, mineralisation","Position uncertain because of apparent projection confusion. Magnetic trend or minor magnetic unit. Proterozoic stratigraphy or drainage Prospect / mineralisation Stockdale detailed helimag survey Magnetic contact Inferred major fault or fracture zone. Hatching indicates dip direction Unconformity; in part from GSWA mapping. Inferred fold axis (antiformal or synformal) Inferred mylonite, fracture or alteration zone Inferred secondary fault or fracture zone Inferred non magnetic, granitic?",False,178,179,,,,,mylonite,,Proterozoic,"uncertain, mineralisation"
372,a075383_e69_2092_2006a_16356505_50,a075383_e69_2092_2006a_16356505.json,75383,177,Annual,50,significant,Table 1 is a break down of the significant HM results. All of the samples either have a high slime or oversize percentage which is not ideal for mining. It is interesting to note that the two western most samples showed a significant amount of ilmenite. Table 2 is a breakdown of the mineralogy of one of the ilmenite samples. Mineralogy an ilmenite sample.,False,50,50,,,"ilmenite, ilmenite, ilmenite",,,,,"significant, significant"
852,a086502_e081773_annual report_0910_13963698_10,a086502_e081773_annual report_0910_13963698.json,86502,40,Annual,10,mineralisation,"Atlas plans to conduct follow up exploration activities over the tenement during the next reporting period. These activities will include further rock chip sampling, and more detailed geological mapping and geophysics. 7 3.1 Iron Ore Mineralisation . 9 5.1 Field Reconnaissance . CONCLUSIONS AND RECOMMENDATIONS .",False,10,11,,,,Iron Ore,,,,
74,a081602_c122_2007_2008a_11903764_814,a081602_c122_2007_2008a_11903764.json,81602,1537,Annual,814,proposed,"Feral animal control - mainly goats and foxes. Jeeaila River Downs vegetation complexes. East of Mount Augustus (proposed Nature Reserve) (B.Barton pers. i, iii, v, vi, vii, ix Habitat protection through reserves - more reservation needed of high priority areas. Habitat protection on state lands (pastoral leases).",False,814,814,,,,,,,,proposed
559,a079888_2008 annual report_14328482_7,a079888_2008 annual report_14328482.json,79888,87,Annual,7,significant,"Diamond drill hole 2 was drilled parallel to the dip of the ore body. Part of the peninsula has been explored for base metals though the work done for these minerals has been minor within recent years 16 RAB, drill holes were placed through deep sand cover northerly of the Great Bingin. Sampling or some or these by previous explorers have returned anomalies results, various parties have sampled and mapped areas of the peninsula though no significant systematic exploration has yet been carried out for gold. More recently two drilling programmes have been completed. Limited costeaning has also been competed.",False,7,7,recent years 16,,"Diamond, gold",base metals,sand,,,significant
42,a077569_2007yunda_annualreport_17943249_79,a077569_2007yunda_annualreport_17943249.json,77569,683,Annual,79,"significance, significant","The most anomalous drill hole sampled to date from the project area is the water bore, MUR_1 (30m @ 130ppb Au from 60m) and yet this result has not been followed up. Apart from a few (four) North Ltd reconnaissance RAB holes and even fewer (two) Voyager Gold shallow hydrogeochemical aircore holes, which did not reach saprock, there is no other drilling in this area. Of even further significance is that parts of Strata Minings vacuum sampling (one line) was completed over this area and generated a significant gold-invacuum soil anomaly, which has a peak value of 51ppb Au. The anomaly is open to the north, south and west and appears to be quite separate from the vacuum anomaly associated with the palaeochannel to the southeast. This area is again within the area dominated by the potentially prospective northnorthwest trending structures obvious in aeromagnetic data (Figure 28 in Jenke, 2008).",False,79,79,2008,,"Gold, gold",,saprock,,,"anomalous, significance, significant, potentially, prospective"
175,a100831_c277_1994_combined annual report_toro_mining_2014_12437259_46,a100831_c277_1994_combined annual report_toro_mining_2014_12437259.json,100831,188,Annual,46,prospect,"The prospects were the Panther gold deposit, the Wealth of Nations prospect, the Jaurdi Mining Centre and the Eight Mile Well prospect. The drilling commenced on the 22nd of February, 2013 and was completed on the 7th of March, 2013. RC Drilling Panther gold deposit The drilling at the Panther prospect comprised of 4 holes for 656m (JRC134 - JRC137). The purpose of the recent drilling was to validate the location of existing mineralization and to test down plunge extensions of this. The Panther gold deposit had been mined in 2001, with most of the supergene gold and some lode gold processed.",False,46,46,"the 22nd of February, 2013, the 7th of March, 2013, 2001",,"gold, gold","gold deposit, gold deposit, gold deposit, lode",,,,"prospects, prospect, prospect, prospect, mineralization"
