event_id,filename,sentence_idx,sentence_text,n_trigger_words,trigger_words,event_text
a079788_e15_852_2008a_11529818_4,a079788_e15_852_2008a_11529818.json,4,"Consequently, it is not possible to merge the datasets into a single set of channel profiles.",1,['possible'],"the lldd0001 survey was read in two parts the original survey was read in the rc pre collar llrc0001, and a subsequent survey was read in the diamond tail. unfortunately, the two surveys were read at different base frequencies and with different channel windows. consequently, it is not possible to merge the datasets into a single set of channel profiles. furthermore, john coggon noted some effects that are consistent with steel casing remaining in the drill hole below 275m, which can be seen in the cross hole components."
a079788_e15_852_2008a_11529818_5,a079788_e15_852_2008a_11529818.json,5,"Furthermore, John Coggon noted some effects that are consistent with steel casing remaining in the drill hole below 275m, which can be seen in the cross-hole components.",1,['drill'],"unfortunately, the two surveys were read at different base frequencies and with different channel windows. consequently, it is not possible to merge the datasets into a single set of channel profiles. furthermore, john coggon noted some effects that are consistent with steel casing remaining in the drill hole below 275m, which can be seen in the cross hole components. key points to note regarding the dhtem results are: the response recorded in llrc0002 is consistent with a conductor lying below the end of the drill hole (figure 6 and figure 7)."
a079788_e15_852_2008a_11529818_6,a079788_e15_852_2008a_11529818.json,6,Key points to note regarding the DHTEM results are: The response recorded in LLRC0002 is consistent with a conductor lying below the end of the drill hole (Figure 6 and Figure 7).,1,['drill'],"consequently, it is not possible to merge the datasets into a single set of channel profiles. furthermore, john coggon noted some effects that are consistent with steel casing remaining in the drill hole below 275m, which can be seen in the cross hole components. key points to note regarding the dhtem results are: the response recorded in llrc0002 is consistent with a conductor lying below the end of the drill hole (figure 6 and figure 7). this is also consistent with the location of the minimum coupling position in the surface mltem profiles."
a079788_e15_852_2008a_11529818_8,a079788_e15_852_2008a_11529818.json,8,"This provides a useful constraint on the possible location of the conductor it cannot lie to the north of the end of LLRC0002, otherwise the polarity of the response would be opposite to what we have observed.",1,['possible'],"key points to note regarding the dhtem results are: the response recorded in llrc0002 is consistent with a conductor lying below the end of the drill hole (figure 6 and figure 7). this is also consistent with the location of the minimum coupling position in the surface mltem profiles. this provides a useful constraint on the possible location of the conductor it cannot lie to the north of the end of llrc0002, otherwise the polarity of the response would be opposite to what we have observed. a highly complex dhtem response (figure 8) consistent with multiple zones of intersected and off hole conductive material was recorded in lldd0001 drilled underneath llrc0002."
a079788_e15_852_2008a_11529818_9,a079788_e15_852_2008a_11529818.json,9,A highly complex DHTEM response (Figure 8) consistent with multiple zones of intersected and off-hole conductive material was recorded in LLDD0001 drilled underneath LLRC0002.,1,['drill'],"this is also consistent with the location of the minimum coupling position in the surface mltem profiles. this provides a useful constraint on the possible location of the conductor it cannot lie to the north of the end of llrc0002, otherwise the polarity of the response would be opposite to what we have observed. a highly complex dhtem response (figure 8) consistent with multiple zones of intersected and off hole conductive material was recorded in lldd0001 drilled underneath llrc0002. it has not been possible to devise a model that fits these data, but the key conclusion remains: the hole has intersected the stratigraphy responsible for the observed response."
a079788_e15_852_2008a_11529818_10,a079788_e15_852_2008a_11529818.json,10,"It has not been possible to devise a model that fits these data, but the key conclusion remains: the hole has intersected the stratigraphy responsible for the observed response.",1,['possible'],"this provides a useful constraint on the possible location of the conductor it cannot lie to the north of the end of llrc0002, otherwise the polarity of the response would be opposite to what we have observed. a highly complex dhtem response (figure 8) consistent with multiple zones of intersected and off hole conductive material was recorded in lldd0001 drilled underneath llrc0002. it has not been possible to devise a model that fits these data, but the key conclusion remains: the hole has intersected the stratigraphy responsible for the observed response. given the known geologic dip, the constraint on the conductor position provided by the dhtem data recorded in llrc0002, and the complex conductive response observed in lldd0001, we can conclude with some certainty that the source of the observed mltem response has been at least partially tested."
a079788_e15_852_2008a_11529818_19,a079788_e15_852_2008a_11529818.json,19,"There is a small area of subcropping tholeiitic basalt and minor felsic sediments in the northern part of the tenement, (figure 2).",1,['minor'],"this, dominantly mafic sequence is then overlain by felsic lavas, tuffs and agglomerates with associated porphyry intrusions, and finally by metasediments. locally e15 852 is almost completely covered by cainozoic sediments, comprising alluvium from the lake lefroy tributary system. there is a small area of subcropping tholeiitic basalt and minor felsic sediments in the northern part of the tenement, (figure 2). e15 852 is located 26km east of kambalda, near lake lefroy in the eastern goldfields region of western australia."
a079788_e15_852_2008a_11529818_31,a079788_e15_852_2008a_11529818.json,31,The DHTEM data provide strong evidence that the source of the Nessie MLTEM anomaly has been intersected by drill hole LLDD0001.,1,['drill'],"the main conclusion reached is that the conductor detected by the surface squid mltem survey has been adequately tested by diamond hole lldd0001. a small program of detailed fltem using the squid sensor has been designed, to reconcile the surface and down hole em data. the dhtem data provide strong evidence that the source of the nessie mltem anomaly has been intersected by drill hole lldd0001. if a more detailed reconciliation between the surface and down hole em survey results is required, a fltem survey may be read using the anglo american squid sensor."
a079788_e15_852_2008a_11529818_35,a079788_e15_852_2008a_11529818.json,35,"The transmitter loop is identical to that used for the DHTEM surveys, and the line of stations has the same azimuth as the drill holes, centred on the collar of LLRC0002.",1,['drill'],"this will provide a more precise estimate of the conductor location, which can be compared with the surface projection of the graphitic shale intersections in lldd0001. the proposed transmitter loop and station layouts are given below in table 2, table 3 and figure 9. the transmitter loop is identical to that used for the dhtem surveys, and the line of stations has the same azimuth as the drill holes, centred on the collar of llrc0002. e15 852 forms part of the independence group nl (igo) and excalibur mining corporation ltd lake lefroy joint venture."
a079788_e15_852_2008a_11529818_39,a079788_e15_852_2008a_11529818.json,39,"This has enable IGO to plan further infill SQUID MLTEM, to better define the anomaly and determine whether the drill holes were a definitive test of the strong bedrock conductor.",1,['drill'],"it is situated 26km east of kambalda, near lake lefroy in the eastern goldfields region of western australia. during the reporting period igo has completed a geophysical review and interpretation of the deep rc and diamond drilling conducted at the nessie prospect in 2007. this has enable igo to plan further infill squid mltem, to better define the anomaly and determine whether the drill holes were a definitive test of the strong bedrock conductor. key points to note regarding the nessie anomaly are: the layered host response due to conductive lake sediment and regolith material is quite strong in the late channels where the nessie anomaly begins to become apparent."
a079788_e15_852_2008a_11529818_51,a079788_e15_852_2008a_11529818.json,51,"There is apparently no reason why black shale that forms an extensive planar surface should become conductive over a strike length of 200m or so, but remain non-conductive elsewhere.",1,['extensive'],"the apparent limited strike length of the anomaly itself is not sufficient to constitute a discrete target: an electrically thick conductor composed of several sub parallel layers will give rise to a power law response, even if it is strike limited. the limited strike length of the observed mltem response has puzzled some geoscientists involved in the project, given the fairly unremarkable lithologies intersected by llrc0002 and lldd0001. there is apparently no reason why black shale that forms an extensive planar surface should become conductive over a strike length of 200m or so, but remain non conductive elsewhere. nevertheless, this is a common phenomenon that has frustrated explorers for as long as electromagnetic techniques have been used to target drill holes."
a079788_e15_852_2008a_11529818_52,a079788_e15_852_2008a_11529818.json,52,"Nevertheless, this is a common phenomenon that has frustrated explorers for as long as electromagnetic techniques have been used to target drill holes.",1,['drill'],"the limited strike length of the observed mltem response has puzzled some geoscientists involved in the project, given the fairly unremarkable lithologies intersected by llrc0002 and lldd0001. there is apparently no reason why black shale that forms an extensive planar surface should become conductive over a strike length of 200m or so, but remain non conductive elsewhere. nevertheless, this is a common phenomenon that has frustrated explorers for as long as electromagnetic techniques have been used to target drill holes. an internal geophysical review of the existing data acquired at the nessie prospect was conducted by igo geophysicist david johnson."
a079788_e15_852_2008a_11529818_56,a079788_e15_852_2008a_11529818.json,56,Work conducted by IGO has been focused on potential economic occurrences of Ni sulphide mineralisation.,2,"['potential', 'mineralisation']","this surface em and down hole em data was included in the 2007 annual report. this report covers exploration completed within tenement e15 852, during the period 21st june 2007 to 20th june 2008, and forms part of the igo lake lefroy jv project. work conducted by igo has been focused on potential economic occurrences of ni sulphide mineralisation. e15 852 is however, completely covered by the lake lefroy salt lake system."
a077471_e47_1265_2008a_10539959_9,a077471_e47_1265_2008a_10539959.json,9,"Iron Ore mineralisation in the Hamersley Province is divided into Bedded (BID), Channel (CID) and Detrital (DID) Iron Deposits.",1,['mineralisation'],"these folds and their associated thrusts accommodate n s shortening across the province. d4 and d5 produced upright, open folds that combine with the d3 folds to form local dome and basin fold patterns. iron ore mineralisation in the hamersley province is divided into bedded (bid), channel (cid) and detrital (did) iron deposits. bedded iron deposits are predominantly developed within the mt newman member and nammuldi member of the marra mamba formation and the dales gorge member of the brockman iron formation."
a077471_e47_1265_2008a_10539959_13,a077471_e47_1265_2008a_10539959.json,13,The resulting mineralisation then undergoes burial metamorphism to form microplaty haematite.,1,['mineralisation'],there are two main models for the genesis of these deposits. one model suggests supergene alteration of the bif to develop goethitemartite ores. the resulting mineralisation then undergoes burial metamorphism to form microplaty haematite. the other model puts forward hypogene alteration of martite enriched bif by replacement of the gangue with goethite and or deposition of microplaty haematite.
a077471_e47_1265_2008a_10539959_14,a077471_e47_1265_2008a_10539959.json,14,The other model puts forward hypogene alteration of martite enriched BIF by replacement of the gangue with goethite and/or deposition of microplaty haematite.,1,['enrich'],one model suggests supergene alteration of the bif to develop goethitemartite ores. the resulting mineralisation then undergoes burial metamorphism to form microplaty haematite. the other model puts forward hypogene alteration of martite enriched bif by replacement of the gangue with goethite and or deposition of microplaty haematite. this is followed by supergene alteration that deposits goethite and involves some leaching of the rock.
a077471_e47_1265_2008a_10539959_21,a077471_e47_1265_2008a_10539959.json,21,"They may contain a range of clast types, sometimes with later cementation, and variable clay content.",1,['contain'],"a goethite matrix, cementing the granules, formed within the palaeochannels. detrital iron deposits develop from the deposition of eroded bid. they may contain a range of clast types, sometimes with later cementation, and variable clay content. occasional dolerite dykes are striking generally between north west and north north west or north east."
a077471_e47_1265_2008a_10539959_25,a077471_e47_1265_2008a_10539959.json,25,"Robe followed-up a regional helicopter supported mapping and rock chip sampling programme in 1990 with 25 reverse circulation drill holes in 1991, south of the tenement, to investigate whether there was any buried CID, DID or BID.",2,"['drill', 'follow up']","mount elvire project annual technical report e47 1265 5.0 previous exploration robe river mining co. pty ltd (robe) and amax exploration (australia) incorporated are known to have conducted exploration to the south and within the tenement in 1991 to 1992 and 1972 respectively. open file reports provide information on these areas. robe followed up a regional helicopter supported mapping and rock chip sampling programme in 1990 with 25 reverse circulation drill holes in 1991, south of the tenement, to investigate whether there was any buried cid, did or bid. the best result was one drill hole that intersected about 6m of massive goethite."
a077471_e47_1265_2008a_10539959_26,a077471_e47_1265_2008a_10539959.json,26,The best result was one drill hole that intersected about 6m of massive goethite.,1,['drill'],"open file reports provide information on these areas. robe followed up a regional helicopter supported mapping and rock chip sampling programme in 1990 with 25 reverse circulation drill holes in 1991, south of the tenement, to investigate whether there was any buried cid, did or bid. the best result was one drill hole that intersected about 6m of massive goethite. the robe open file report mentions that cliffs international completed regional mapping in 1971 based on aerial photographs."
a077471_e47_1265_2008a_10539959_34,a077471_e47_1265_2008a_10539959.json,34,"In October 2007, a helicopter was used to determine potential points of vehicular access into the Hamersley Range and tenement.",1,['potential'],"this was commenced in 2006. in addition, aerial photography and shuttle radar (srtm) data of the area was purchased. in october 2007, a helicopter was used to determine potential points of vehicular access into the hamersley range and tenement. mount elvire project annual technical report e47 1265 10 7.0 results results from the geological interpretation of landsat 7 imagery and purchase of the shuttle radar digital terrain model data are illustrated in figures 2, 3 and 4."
a077471_e47_1265_2008a_10539959_36,a077471_e47_1265_2008a_10539959.json,36,The report for the geological interpretation of the Landsat imagery is contained in Appendix 3.,1,['contain'],"in october 2007, a helicopter was used to determine potential points of vehicular access into the hamersley range and tenement. mount elvire project annual technical report e47 1265 10 7.0 results results from the geological interpretation of landsat 7 imagery and purchase of the shuttle radar digital terrain model data are illustrated in figures 2, 3 and 4. the report for the geological interpretation of the landsat imagery is contained in appendix 3. the helicopter reconnaissance found a potential vehicular route, that can be attempted next dry field season, following a drainage system between the fortescue valley and the bottom south east edge of the tenement."
a077471_e47_1265_2008a_10539959_37,a077471_e47_1265_2008a_10539959.json,37,"The helicopter reconnaissance found a potential vehicular route, that can be attempted next dry field season, following a drainage system between the Fortescue Valley and the bottom south-east edge of the tenement.",2,"['find', 'potential']","mount elvire project annual technical report e47 1265 10 7.0 results results from the geological interpretation of landsat 7 imagery and purchase of the shuttle radar digital terrain model data are illustrated in figures 2, 3 and 4. the report for the geological interpretation of the landsat imagery is contained in appendix 3. the helicopter reconnaissance found a potential vehicular route, that can be attempted next dry field season, following a drainage system between the fortescue valley and the bottom south east edge of the tenement. sheet sf 50 11 (2nd edition): western australia geological survey, 1:250 000 geological series."
a077471_e47_1265_2008a_10539959_43,a077471_e47_1265_2008a_10539959.json,43,"Geology: The tenement area contains the Lower Proterozoic stratigraphic sequence from Brockman Iron Formation to Woongarra Volcanics and minor Cainozoic Robe Pisolite, colluviums and duricrust.",2,"['contain', 'minor']","elvire combined reporting number: tenement numbers: e47 1265 tenement operator: api management pty ltd as manager of australian premium iron joint venture (as to iron), de beers australia exploration limited (as to diamonds) and aquila resources limited (as to all other minerals) tenement holder: de beers australia exploration limited report type: annual report report title: annual report for the period 6 january 2007 to 5 january 2008, mt. it is covered by the yarraloola, pyramid, wyloo, and mount bruce 1:250 000 and elvire and millstream 1:100 000 topographic map sheets. geology: the tenement area contains the lower proterozoic stratigraphic sequence from brockman iron formation to woongarra volcanics and minor cainozoic robe pisolite, colluviums and duricrust. the main rock types are banded iron formation, shales, and acidic volcanics."
a077471_e47_1265_2008a_10539959_45,a077471_e47_1265_2008a_10539959.json,45,"Work done: Activity Date Aerial photography and Shuttle Radar (SRTM) Data acquired August 2007 Geological interpretation of Landsat 7 imagery August 2007 Helicopter-based reconnaissance of tenement accessibility October 2007 Results: The helicopter reconnaissance found a potential vehicular route, that can be attempted next dry field season, following a drainage system between the Fortescue Valley and the bottom south-east edge of the tenement.",2,"['find', 'potential']","geology: the tenement area contains the lower proterozoic stratigraphic sequence from brockman iron formation to woongarra volcanics and minor cainozoic robe pisolite, colluviums and duricrust. the main rock types are banded iron formation, shales, and acidic volcanics. work done: activity date aerial photography and shuttle radar (srtm) data acquired august 2007 geological interpretation of landsat 7 imagery august 2007 helicopter based reconnaissance of tenement accessibility october 2007 results: the helicopter reconnaissance found a potential vehicular route, that can be attempted next dry field season, following a drainage system between the fortescue valley and the bottom south east edge of the tenement. mount elvire project annual technical report e47 1265 1 contents 1.0 summary of exploration activities ."
a077471_e47_1265_2008a_10539959_79,a077471_e47_1265_2008a_10539959.json,79,"The Dales Gorge Member is host to the majority of iron ore mineralisation, with Tom Price, Paraburdoo, Whaleback, and Rhodes Ridge being typical examples.",1,['mineralisation'],"of these members, the mount newman member is host to the major deposits presently being mined and consists of a thick succession of bif, shale, and carbonate rocks. the brockman iron formation consists of bif, shale and chert and is divided into the dales gorge, mt whaleback, joffre, and yandicoogina shale members. the dales gorge member is host to the majority of iron ore mineralisation, with tom price, paraburdoo, whaleback, and rhodes ridge being typical examples. during the tertiary, a series of erosion deposition hardpanisation (ferricrete) cycles resulted in the regionally extensive hamersley surfaces that can contain economic detrital iron mineralisation."
a077471_e47_1265_2008a_10539959_80,a077471_e47_1265_2008a_10539959.json,80,"During the Tertiary, a series of erosion-deposition-hardpanisation (ferricrete) cycles resulted in the regionally extensive Hamersley surfaces that can contain economic Detrital Iron Mineralisation.",3,"['extensive', 'contain', 'mineralisation']","the brockman iron formation consists of bif, shale and chert and is divided into the dales gorge, mt whaleback, joffre, and yandicoogina shale members. the dales gorge member is host to the majority of iron ore mineralisation, with tom price, paraburdoo, whaleback, and rhodes ridge being typical examples. during the tertiary, a series of erosion deposition hardpanisation (ferricrete) cycles resulted in the regionally extensive hamersley surfaces that can contain economic detrital iron mineralisation. these surfaces have subsequently been eroded by the existing drainage system, often preserving remnants of the hamersley surfaces in mesas."
a082077_e59_1090_2008a_verificationreport_12775892_4,a082077_e59_1090_2008a_verificationreport_12775892.json,4,Conclusion Moderate to low potential for gold mineralisation.,2,"['potential', 'mineralisation']",results seven aeromagnetic targets delineated within or partially within e59 1090. only four previous soil samples reported >15 ppb au and these form single point anomalies. conclusion moderate to low potential for gold mineralisation. stratigraphic and structural targets should be followed up by field investigations including soil sampling.
a082077_e59_1090_2008a_verificationreport_12775892_5,a082077_e59_1090_2008a_verificationreport_12775892.json,5,Stratigraphic and structural targets should be followed-up by field investigations including soil sampling.,1,['follow up'],only four previous soil samples reported >15 ppb au and these form single point anomalies. conclusion moderate to low potential for gold mineralisation. stratigraphic and structural targets should be followed up by field investigations including soil sampling. rab and or rc drilling should be conducted to test interpretation and anomalies if required.
a084941_p28_1031_2009a_15119260_10,a084941_p28_1031_2009a_15119260.json,10,A review of data identified that North Limited completed an auger drill programme on its Exploration Licences 28/434 and 28/435.,1,['drill'],"the greenstone belt trends north northwest with komatiitic ultramafic unit approximately 100m wide within a sequence of metabasic units. flanking the belt are major archaean intrusive granitic bodies. a review of data identified that north limited completed an auger drill programme on its exploration licences 28 434 and 28 435. from analysis of norths assay results and the accompanying diagrams, it was evident that the interpreted structures and gold anomalism appeared to be located on e28 434 which is due west of e28 435."
a084941_p28_1031_2009a_15119260_14,a084941_p28_1031_2009a_15119260.json,14,Future exploration of the tenement area should include further geochemical sampling to identify possible targets after which an aircore programme could/should be designed.,1,['possible'],most assays on e28 435 returned values of between 0ppm and 9ppm; with some assays as high as 20ppm. no significant soil anomalies appeared to be present on e28 435. future exploration of the tenement area should include further geochemical sampling to identify possible targets after which an aircore programme could should be designed. p28 1031_kurnalpi project_annual report_2009 1.0 introduction this report details exploration undertaken on p28 1031 by carrick gold limited for the period ending 12 july 2009.
a084941_p28_1031_2009a_15119260_25,a084941_p28_1031_2009a_15119260.json,25,Work Done: Review of data Results: n/a Conclusions: Potential targets to be identified by mapping of geochemical samples.,1,['potential'],geology: the kurnalpi property is located on the norseman wiluna greenstone belt. the greenstone belt trends north northwest with komatiitic ultramafic unit approximately 100m wide within a sequence of metabasic units. work done: review of data results: n a conclusions: potential targets to be identified by mapping of geochemical samples. follow up with infill geochemical sampling and or aircore programme s.
a084941_p28_1031_2009a_15119260_26,a084941_p28_1031_2009a_15119260.json,26,Follow up with infill geochemical sampling and/or aircore programme/s.,1,['follow up'],the greenstone belt trends north northwest with komatiitic ultramafic unit approximately 100m wide within a sequence of metabasic units. work done: review of data results: n a conclusions: potential targets to be identified by mapping of geochemical samples. follow up with infill geochemical sampling and or aircore programme s. contents summary 1.0 introduction 2.0 location and tenure 3.0 geology 3.1 project geology 4.0 exploration during the reporting period 4.1 review of historical data 5.0 conclusions and recommendations list of figures p28 1031_kurnalpi project_annual report_2009.
a084941_p28_1031_2009a_15119260_32,a084941_p28_1031_2009a_15119260.json,32,"On the western side of the shear zone, the bedrock sequence comprises basalts, komatiites, sediments and minor felsic volcanics.",1,['minor'],"flanking the belt are major archaean intrusive granitic bodies. the major structural feature of the property area is the north northwest trending avoca shear zone that dips to the west. on the western side of the shear zone, the bedrock sequence comprises basalts, komatiites, sediments and minor felsic volcanics. to the east of the avoca shear, the sequence is dominated by basalt, dolerite and sediments and in the easternmost portions of the kurnalpi property by felsic volcanic rocks."
a084941_p28_1031_2009a_15119260_37,a084941_p28_1031_2009a_15119260.json,37,Bedrock gold mineralisation is associated with the major Avoca Shear Zone and with the northeast trending faults.,1,['mineralisation'],late stage northeast trending faults cross cut the avoca shear zone and east to east southeast trending thrust faults are interpreted as being present in the north to the south of an intrusive granite. tertiary and quaternary deposits of various origins cover the bedrock sequence and dominate much of the area where outcrops are generally sparse. bedrock gold mineralisation is associated with the major avoca shear zone and with the northeast trending faults. gold derived from the bedrock structures has entered the alluvial sequences and was a major source of the gold produced during the active mining period at kurnalpi.
a084941_p28_1031_2009a_15119260_40,a084941_p28_1031_2009a_15119260.json,40,Nickel mineralisation is present mainly in the west of the Kurnalpi property where it is present both in the laterite weathering profile overlying ultramafic sequences and also in the bedrock.,1,['mineralisation'],gold derived from the bedrock structures has entered the alluvial sequences and was a major source of the gold produced during the active mining period at kurnalpi. the gold was noted as being coarse grained and nuggety in distribution. nickel mineralisation is present mainly in the west of the kurnalpi property where it is present both in the laterite weathering profile overlying ultramafic sequences and also in the bedrock. outcrop is poor over the project area due to deep weathering profiles and thin soils covering the over 95% of the bedrock.
a084941_p28_1031_2009a_15119260_44,a084941_p28_1031_2009a_15119260.json,44,4.1 Review of historical data A review of data identified that North Limited completed an auger drill programme on its Exploration Licences 28/435 and 28/434 [both dead; formed part of a combined report].,1,['drill'],"a plan of the local geology (gswa mapping) of the project area is shown in figure 1. p28 1031_kurnalpi project_annual report_2009 4.0 exploration during reporting period a tenement location map is presented in figure 2. 4.1 review of historical data a review of data identified that north limited completed an auger drill programme on its exploration licences 28 435 and 28 434 [both dead; formed part of a combined report]. the former el28 435 is now made up of several tenements including p28 1031 (holder: bushwin pty ltd.; beneficially held by carrick gold limited), p28 1032 and p28 1034 (both shannon resources ltd.; beneficially held by carrick gold limited)."
a084941_p28_1031_2009a_15119260_48,a084941_p28_1031_2009a_15119260.json,48,"Regolith types that were encountered were reported to have varied from sandy quartz-rich transported soils, lateritic duricrust and minor areas of residual saprock.",1,['minor'],"the auger drilling programme was conducted over two exploration licences: e28 434 and e28 435. it was conducted on a 400m x 50m grid pattern. regolith types that were encountered were reported to have varied from sandy quartz rich transported soils, lateritic duricrust and minor areas of residual saprock. a strong pedogenic carbonate horizon was also encountered ranging in depth from surface to 1 metre with an average depth of 0.7m."
a084941_p28_1031_2009a_15119260_54,a084941_p28_1031_2009a_15119260.json,54,5.0 CONCLUSIONS AND RECOMMENDATIONS Future exploration of the tenement area should include further geochemical sampling to identify possible targets after which an aircore programme could/should be designed.,1,['possible'],most assays on e28 435 returned values of between 0ppm and 9ppm; with some assays as high as 20ppm. no significant soil anomalies appeared to be present on e28 435. 5.0 conclusions and recommendations future exploration of the tenement area should include further geochemical sampling to identify possible targets after which an aircore programme could should be designed.
a080178_rw_e51_1111_2008s_verification report_12284650_6,a080178_rw_e51_1111_2008s_verification report_12284650.json,6,"The region contains a wide variety and large number of mineral deposits, but exploration is hindered by areas of alluvial cover with poor outcrop.",1,['contain'],"geology: the tenement covered lower proterozoic sedimentary rocks of the capricorn orogen located between the goodin inlier to the south and the marymia inlier to the north. the rocks belong to the bryah and yerrida groups and comprise rift basin and sag basin lithological sequences. the region contains a wide variety and large number of mineral deposits, but exploration is hindered by areas of alluvial cover with poor outcrop. work done: exploration consisted of blanket soil and lag sampling on a 400 m 400 m offset grid over a large part of the western and southern half of e51 1111."
