event_id,filename,sentence_idx,sentence_text,n_trigger_words_in_sentence,trigger_words_in_sentence,n_trigger_words_in_event,trigger_words_in_event,event_text,ROCK,LOCATION,TIMESCALE,event_label,MINERAL,ORE_DEPOSIT,STRAT
a081185_188_2005_combannual_2008a_17837689_128,a081185_188_2005_combannual_2008a_17837689.json,128,"and orridge g.r., (1975) regional geology and mineralisation at the fraser range orogenic belt, western australia in economic geology of australia and papua new guinea.",1,mineralisation,1,mineralisation,"streich v., 1893 geology of the fraser range area. talbot, h. w. b., 1920 notes on a traverse from zanthus, on the transcontinental railway, to laverton. and orridge g.r., (1975) regional geology and mineralisation at the fraser range orogenic belt, western australia in economic geology of australia and papua new guinea. metals van de graaff, w. j. e., and bunting, j.",,"fraser, australia, laverton, western australia, zanthus",,0,,,
a081185_188_2005_combannual_2008a_17837689_137,a081185_188_2005_combannual_2008a_17837689.json,137,"no 231 sept. wilson a.f., (1969b) the mineral potential of granulite terranes.",1,potential,1,potential,"b., 1969 on the age and strontium isotopic geochemistry of granulite facies rocks from the fraser range, western australia, and the musgrave range, central australia. some aspects of a spinel bearing metagabbro in the pyroxene granulite of the fraser range. no 231 sept. wilson a.f., (1969b) the mineral potential of granulite terranes. i.m.m., no 231 sept. wilson, a f., 1969 granulite terrains and their tectonic setting and relationship to associated metamorphic rocks in australia.","metamorphic rocks, metagabbro, granulite","fraser, australia, western australia",,0,"pyroxene, spinel",,
a085500_p28_1047_cr34639 fr_ver_15644485_10,a085500_p28_1047_cr34639 fr_ver_15644485.json,10,"during periods of extensive rain, access to the northern half of the project is difficult due to a large network of perennial lakes and streams associated with lake rebecca.",1,extensive,1,extensive,"all bore water in the area is suitable for general use, but should not be used for drinking. the nearest airstrip is located in the township of kalgoorlie boulder. during periods of extensive rain, access to the northern half of the project is difficult due to a large network of perennial lakes and streams associated with lake rebecca. access at all times should be restricted to 4wd vehicles.",,"kalgoorlie, boulder",,0,,,
a085500_p28_1047_cr34639 fr_ver_15644485_21,a085500_p28_1047_cr34639 fr_ver_15644485.json,21,a package of talc chlorite schists and other variably sheared ultramafic units dominate the central area of the project and host the gold mineralisation at kirgella.,1,mineralisation,1,mineralisation,internal granitoids and porphyries are also common and metamorphic grade is typically greenschist to amphibolite facies. locally the geology of the pinjin project area comprises a moderately to steeply east dipping sequence of dominantly mafic and felsic volcanic rocks with dolerites and ultramafic rocks also common. a package of talc chlorite schists and other variably sheared ultramafic units dominate the central area of the project and host the gold mineralisation at kirgella. the southern area is dominated by granitic intrusives covered by a veneer of greenstone lithologies.,"amphibolite, greenschist, greenstone, schists, felsic volcanic rocks, dolerites, granitoids",pinjin,,0,"gold, talc, chlorite",,
a085500_p28_1047_cr34639 fr_ver_15644485_26,a085500_p28_1047_cr34639 fr_ver_15644485.json,26,alluvial cover is extensive and can reach depths of 80m or more.,1,extensive,1,extensive,late east west oriented proterozoic dolerite dykes cut all stratigraphy through the centre of the project. outcrop is generally poor and accounts for less than 5% of the project. alluvial cover is extensive and can reach depths of 80m or more.,dolerite,,proterozoic,0,,,
a084808_weldrange_annual report_0809_16890051_18,a084808_weldrange_annual report_0809_16890051.json,18,prior to conducting any further drilling at weld range atlas iron requested woodman environmental consulting prepare a proposal addressing the scope and costing to conduct flora and vegetation assessments of the tenement.,1,further drilling,1,further drilling,atlas iron limited has attempted to meet with the group on various occasions throughout the reporting period without a successful outcome. as requested by the representatives as a result of the survey that was completed in december 2008 atlas iron limited has not conducted any further exploration activities over the tenement. prior to conducting any further drilling at weld range atlas iron requested woodman environmental consulting prepare a proposal addressing the scope and costing to conduct flora and vegetation assessments of the tenement. the tenement was assessed by woodman environmental during spring 2008 and a report on the flora and vegetation of the area is currently in prep.,,"weld range, atlas iron",,0,,,
a085321_nar_a_2009_11561873_0,a085321_nar_a_2009_11561873.json,0,"review of all project information confirmed that the best prospects for future exploration and resource definition drilling are proximal to the known base metal mineralisation, particularly around the no.",1,mineralisation,1,mineralisation,"review of all project information confirmed that the best prospects for future exploration and resource definition drilling are proximal to the known base metal mineralisation, particularly around the no. 1 and 2 open pits.",,,,0,,base metal,
a085321_nar_a_2009_11561873_4,a085321_nar_a_2009_11561873.json,4,"review of all project data confirmed that the known occurrences of base metal mineralisation, particularly those proximal to the no.",1,mineralisation,1,mineralisation,"all data sets for the project were evaluated with the aim of prioritising future field work. evaluation included a desk top study using mapinfo gis to review 2d data sets and gemcom surpac to review 3d data sets. review of all project data confirmed that the known occurrences of base metal mineralisation, particularly those proximal to the no. 1 and 2 open pits, should be the main focus for future exploration and resource definition.",,,,0,,base metal,
a085321_nar_a_2009_11561873_8,a085321_nar_a_2009_11561873.json,8,pattern drilling with an rc rig is also recommended around other prospective zones for hosting mvt base metal mineralisation.,1,mineralisation,1,mineralisation,the most prospective zone is believed to be the western extensions of the no. 2 pit resource. pattern drilling with an rc rig is also recommended around other prospective zones for hosting mvt base metal mineralisation. approximately one third of the project area is composed of outcropping limestone of the napier range.,limestone,napier range,,0,,base metal,
a085321_nar_a_2009_11561873_54,a085321_nar_a_2009_11561873.json,54,"geology: the napier range consists of a narrow and elongate complex of devonian reef carbonates that are prospective for hosting lead, zinc and silver mineralisation.",1,mineralisation,1,mineralisation,"geological society of australia inc. 1984. location: napier range, immediately south of the barker river, approximately 1,860 km north east of perth in the west kimberley region of western australia. geology: the napier range consists of a narrow and elongate complex of devonian reef carbonates that are prospective for hosting lead, zinc and silver mineralisation. the carbonates are surrounded by zones of basin fill sediments, and unconformably overlie proterozoic metamorphic rocks.","metamorphic rocks, sediments","kimberley, australia, perth, western australia, napier range","devonian, proterozoic",0,"zinc, lead, silver, carbonates",,
a085321_nar_a_2009_11561873_58,a085321_nar_a_2009_11561873.json,58,conclusions: future work should concentrate around the areas of known base metal mineralisation proximal to the narlarla no.,1,mineralisation,1,mineralisation,work done: diamond indicator mineral analysis on aircore drilling samples through the cover sequence. results: no new anomalies were identified that were considered worthy of follow up exploration. conclusions: future work should concentrate around the areas of known base metal mineralisation proximal to the narlarla no. 1 & 2 pits as the main priority.,,,,0,diamond,base metal,
a085321_nar_a_2009_11561873_71,a085321_nar_a_2009_11561873.json,71,"the napier range consists of a narrow and elongate complex of devonian reef carbonates that are prospective for hosting lead, zinc and silver mineralisation.",1,mineralisation,1,mineralisation,"6 1.0 summary the narlarla lead zinc project is centred on the napier range, immediately south of the barker river, approximately 1,860 km north east of perth in the west kimberley region of western australia. the project area covers a portion of the north west corner of the lennard river 1:250,000 map sheet (se 51 8). the napier range consists of a narrow and elongate complex of devonian reef carbonates that are prospective for hosting lead, zinc and silver mineralisation. the carbonates are surrounded by zones of basin fill sediments, and unconformably overlie proterozoic metamorphic rocks.","metamorphic rocks, sediments","kimberley, perth, napier range, western australia","devonian, proterozoic",0,"zinc, carbonates, silver, lead",,
a085321_nar_a_2009_11561873_82,a085321_nar_a_2009_11561873.json,82,vehicle access to the project is generally not possible during the northern australian wet season.,1,possible,1,possible,"vehicle access to the old narlarla (devonian) mine site on the limestone plateau immediately east of barker gorge is difficult. access to the project area is generally good during the dry season, although the napier range itself is very rugged. vehicle access to the project is generally not possible during the northern australian wet season. napier range, narlarla (devonian) lead zinc silver mine.",limestone,napier range,devonian,0,"zinc, silver, lead",,
a085321_nar_a_2009_11561873_90,a085321_nar_a_2009_11561873.json,90,the barker river and wombarella creek drain an extensive catchment area of proterozoic rocks forming part of the king leopold range.,1,extensive,1,extensive,the narlarla project is centred on the barker gorge cutting the napier range. the old narlarla (devonian) lead zinc silver mine is located on the east side of the gorge on an elevated limestone plateau. the barker river and wombarella creek drain an extensive catchment area of proterozoic rocks forming part of the king leopold range. water flow through the barker gorge during the wet season rains can be significant.,limestone,"king leopold, napier range","devonian, proterozoic",0,"zinc, silver, lead",,
a085321_nar_a_2009_11561873_94,a085321_nar_a_2009_11561873.json,94,"the frasnian platform facies pillara limestone is locally extensive, although not in the immediate narlarla area, where the frasnian lower napier and famennian upper napier formation are the dominant limestone units.",1,extensive,1,extensive,"in detail the devonian stratigraphy in the mid napier range consists of a basal conglomerate unit (van emmerick conglomerate) forming the van emmerick range to the north west of narlarla. thinner variants of this unit may be persistent throughout the area. the frasnian platform facies pillara limestone is locally extensive, although not in the immediate narlarla area, where the frasnian lower napier and famennian upper napier formation are the dominant limestone units. both are fore reef and slope facies carbonates containing locally abundant terriginous material in a variably bedded and dolomitised impure limestone.","conglomerate, limestone",napier range,"devonian, famennian, frasnian",0,carbonates,,"van emmerick conglomerate, pillara limestone, napier formation"
a085321_nar_a_2009_11561873_99,a085321_nar_a_2009_11561873.json,99,lead zinc mineralisation broadly of mississippi valley type (mvt) is present in the area from narlarla to wagon pass located approximately 14 kilometres to the north west.,1,mineralisation,1,mineralisation,"bedded units dip on average 15 to 30 degrees to the south west; the steeper dips in fore reef slope areas. a northerly change in strike in the barker gorge area in the immediate vicinity of the narlarla lead zinc deposits has been interpreted as a syn depositional feature associated with active faulting possibly along the present barker river gorge (ringrose 1984). lead zinc mineralisation broadly of mississippi valley type (mvt) is present in the area from narlarla to wagon pass located approximately 14 kilometres to the north west. although no presently economic reserves are known, the area is considered prospective in the light of significant lead zinc mineralisation elsewhere on the lennard shelf.",,south west,,0,"zinc, lead",,
a085321_nar_a_2009_11561873_107,a085321_nar_a_2009_11561873.json,107,"although this effort met with little success in the immediate narlarla area, significant lead zinc mineralisation of a similar style to narlarla was located at wagon pass, approximately 14 kilometres to the north west.",1,mineralisation,1,mineralisation,"since the cessation of mining in the narlarla area in 1966, the area has been subjected to sporadic exploration campaigns. the first of these was by the shell company of australia metals division who explored the narlarla area as part of a larger lennard shelf exploration program during the period 1978 1982. although this effort met with little success in the immediate narlarla area, significant lead zinc mineralisation of a similar style to narlarla was located at wagon pass, approximately 14 kilometres to the north west. fire hills gold nl undertook a limited campaign of percussion drilling in the immediate vicinity of the narlarla mines in 1989.",,australia,,0,"zinc, gold, lead",,
a085321_nar_a_2009_11561873_111,a085321_nar_a_2009_11561873.json,111,a proposal by the same party to treat stockpiled low grade material did not eventuate.,1,low grade,2,"potential, low grade","although some intersections of economic significance were returned, including 2 m @ 25.5% zinc and 14.7% lead, no additional ore positions were considered to have been located by this work. this work was poorly reported, and details of hole locations are unavailable. a proposal by the same party to treat stockpiled low grade material did not eventuate. a review of the exploration potential of the area together with a photo geological study was completed by j.s.",,,,0,"zinc, lead",,
a085321_nar_a_2009_11561873_115,a085321_nar_a_2009_11561873.json,115,"subsequent work completed by coronet resources limited has included enzyme leach partial extraction soil geochemistry, which was mainly directed towards assessing the potential of the alluvial and black soil plain south of the napier range, to conceal mississippi valley type (mvt) base metals mineralisation.",2,"potential, mineralisation",2,"potential, mineralisation","noakes and associates in 1995. the report concluded that the area in the vicinity of the old narlarla mines remained prospective for carbonate hosted lead zinc deposits. subsequent work completed by coronet resources limited has included enzyme leach partial extraction soil geochemistry, which was mainly directed towards assessing the potential of the alluvial and black soil plain south of the napier range, to conceal mississippi valley type (mvt) base metals mineralisation. drilling has totalled 24 air core holes for 699 metres, and 15 reverse circulation drill holes for 682 metres, guided in part by a high resolution gravity survey consisting of 336 readings on a nominal 20m grid around the no.",,napier range,,0,"zinc, carbonate, lead",base metals,
a085321_nar_a_2009_11561873_130,a085321_nar_a_2009_11561873.json,130,1 pit and the drilling of 14 ltk48 diamond drill holes to further test and extend the base metal mineralisation at the nw end of the number 2 pit.,1,mineralisation,1,mineralisation,"samples were initially sent to genalysis laboratories, perth for low level geochemical analysis. other work at narlarla during 2007, included the taking of 17 rock chip samples, some geological mapping around the old no. 1 pit and the drilling of 14 ltk48 diamond drill holes to further test and extend the base metal mineralisation at the nw end of the number 2 pit. 53 soil geochemistry samples were collected during the 2008 field season and submitted to actlabs for multi element analysis using an enzyme leach digest.",,perth,,0,diamond,base metal,
a085321_nar_a_2009_11561873_133,a085321_nar_a_2009_11561873.json,133,"the drillholes tested targets, prospective for base metal mineralisation, generated from previous exploration work.",1,mineralisation,1,mineralisation,"53 soil geochemistry samples were collected during the 2008 field season and submitted to actlabs for multi element analysis using an enzyme leach digest. exploration aircore drilling of 40 holes for 828m was also carried out along 3 drill lines. the drillholes tested targets, prospective for base metal mineralisation, generated from previous exploration work. 154 samples were sent to genalysis laboratories ltd., perth for analysis for precious and base metals.",,perth,,0,,"base metal, base metals",
a073926_yilgarrie_2006 relinq_report-1700_13798747_3,a073926_yilgarrie_2006 relinq_report-1700_13798747.json,3,bhpb billiton minerals pty ltd also recognises the potential for other commodities within the project area.,1,potential,1,potential,"while initial interpretation suggests that ultramafic units may exist within the yilgarrie anti form, the area is extremely difficult to explore for nickel using conventional techniques due to the depth of proterozoic cover of the earaheedy basin. drilling within the basin sediments has historically proved to be extremely difficult due to the numerous aquifers and poor ground conditions. bhpb billiton minerals pty ltd also recognises the potential for other commodities within the project area. figure 1 project location plan figure 2 tenement plan.",sediments,earaheedy basin,proterozoic,0,nickel,,
a082698_wy_e08-1190 _s2009_14741465_10,a082698_wy_e08-1190 _s2009_14741465.json,10,conclusions: high au values in soil samples near northern boundary where known mineralisation occurs in different lithologies.,1,mineralisation,2,"potential, mineralisation",one stream sediment 0ppb au. best auger 3ppb au. conclusions: high au values in soil samples near northern boundary where known mineralisation occurs in different lithologies. conclusion is there is little potential for carlin style deposit.,sediment,,,0,,,
a082698_wy_e08-1190 _s2009_14741465_29,a082698_wy_e08-1190 _s2009_14741465.json,29,the melrose argillite within the fortescue group is the immediate host of the paulsens gold mineralisation localised in an anticlinal axial zone.,1,mineralisation,1,mineralisation,"minor amounts of interbedded sediments can be identified within this older sequence, occurring around the tombstone prospect. the sediments grade upwards and along strike into tuffs. the melrose argillite within the fortescue group is the immediate host of the paulsens gold mineralisation localised in an anticlinal axial zone. the dome was formed during the early proterozoic (1.6ga to 2.4ga) capricorn orogen, which produced the ophthalmia and ashburton fold belts.","tuffs, argillite, sediments","capricorn orogen, paulsens",proterozoic,0,gold,,fortescue group
a082698_wy_e08-1190 _s2009_14741465_38,a082698_wy_e08-1190 _s2009_14741465.json,38,these dykes post date the melrose fault and the mineralisation.,1,mineralisation,1,mineralisation,"at least two suites of early proterozoic 1.6ga to 2.6ga dolerite dykes cut basement rocks of the wyloo dome. the billeroo dykes are the oldest and most numerous and are up to 50 meters thick with irregular trends, generally sub parallel to and affected by the axial plane cleavage of the second deformation. these dykes post date the melrose fault and the mineralisation. the black hill dolerite dykes are unweathered and strongly magnetic with steep dips and a northeast trend.",dolerite,wyloo dome,proterozoic,0,,,
a076932_e80_2389 2007a_14087599_7,a076932_e80_2389 2007a_14087599.json,7,the aim of the testwork was to provide additional information to rmc as to the potential beneficiation characteristics of each sample.,1,potential,1,potential,"it is recommended to better understand the beneficiation characteristics of both the types of ores (hematite and magnetite), further testing should be carried out on representative pq diamond core as this is the usual method for determining metallurgical characteristics of ore bodies. iml pty ltd, project 2526 resource mining corporation ltd argyle iron ore metallurgi cal testwork f: resource mining 2526 2 1.0 introduction independent metallurgical laboratories (iml) pty ltd was requested by warwick davies of resource mining corporation limited (rmc) to conduct metallurgical testwork on colluvial surface ore, hematite rc chips and magnetite rc chips. the aim of the testwork was to provide additional information to rmc as to the potential beneficiation characteristics of each sample. testwork generally comprised: characterisation of six colluvial samples and assay of selected size fractions; assay of hematite chip samples, followed by testing beneficiation properties via washing and screening; assay of magnetic chip samples, followed by testing beneficiation properties via either dry or wet low intensity magnetic separation.",,argyle,,0,"hematite, diamond, magnetite",iron ore,
a076932_e80_2389 2007a_14087599_29,a076932_e80_2389 2007a_14087599.json,29,"turley s (2006), a review of the mineral potential of e80 2389 for resource mining corporation ltd, unpubl.",1,potential,1,potential,"oconnell m., barnett b., (2006), argyle iron ore project: conservation significant flora and rainforest thicket assessment for resource mining corporation ltd, ecologia environment, unpubl. reynolds m. (2004), remote sensing interpretation of and site visit to the sam, tony and matsu iron deposits in the kimberley of western australia, mackay and schellmann pty ltd on behalf of gauntlet mining corporation pty ltd, unpubl. turley s (2006), a review of the mineral potential of e80 2389 for resource mining corporation ltd, unpubl. 0 appendix 1 metallurgical testwork report project no.",,"kimberley, argyle, western australia",,0,,"iron deposits, iron ore",
a076932_e80_2389 2007a_14087599_35,a076932_e80_2389 2007a_14087599.json,35,reprocessing of the landsat tm imagery also noted an enriched silica and iron association with the granitiod which further supported the mineralising potential of the system.,2,"potential, enriched",3,"potential, enriched, mineralisation","the minimum storage fee will be $20.00 per month. detailed aeromagnetic radiometric survey in 2005 over the argyle iron ore project shows a discrete, high potassic response in the radiometrics appears to be associated with a discreet granitiod intrusion which hasnt been previously recognised by past explorers (figure 6). reprocessing of the landsat tm imagery also noted an enriched silica and iron association with the granitiod which further supported the mineralising potential of the system. preliminary mapping of the northern extension of the iron ore mineralisation was conducted.",,argyle,,0,"silica, iron",iron ore,
a076932_e80_2389 2007a_14087599_54,a076932_e80_2389 2007a_14087599.json,54,1 appendix 2 open file review torridon exploration report compiled for resource mining corporation ltd a review of the mineral potential of e80 2389 author: stephen turley report: rc081006r1 date: 28th november 2006 rc081006r1 title & contents.doc ii torridon exploration contents page summary 1 1.,1,potential,1,potential,"while independent metallurgical laboratories pty ltd has taken all reasonable care to ensure that the facts and opinions expressed in this report are accurate it does not accept any legal responsibility for any loss or damage suffered resulting from use of this report howsoever caused and whether by breach of contract, negligence or otherwise. the results presented in this report pertain only to the sample received for testing. 1 appendix 2 open file review torridon exploration report compiled for resource mining corporation ltd a review of the mineral potential of e80 2389 author: stephen turley report: rc081006r1 date: 28th november 2006 rc081006r1 title & contents.doc ii torridon exploration contents page summary 1 1. geological appraisal 1 2.2.",,,,0,,,
a076932_e80_2389 2007a_14087599_63,a076932_e80_2389 2007a_14087599.json,63,the review showed that there is potential for further iron ore at the matsu deposit in the southeast and on the northward extension of the haematite horizon that hosts the tony and sam deposits.,1,potential,2,"potential, extensive",the records show that the area was explored for iron ore in the 1960s and for diamonds in the late 1970s and 1980s. it is also likely that other companies looked at the ground without taking out tenure. the review showed that there is potential for further iron ore at the matsu deposit in the southeast and on the northward extension of the haematite horizon that hosts the tony and sam deposits. despite the tenement close proximity to the argyle diamond mine the extensive diamond exploration by cra and argyle diamond mines showed the area to have little potential for further diamond deposits.,,"argyle diamond mine, argyle",,0,"diamond, diamonds",iron ore,
a076932_e80_2389 2007a_14087599_67,a076932_e80_2389 2007a_14087599.json,67,"malachite found by don thompson in a cave within the golden gate formation and the sandstones and shales of the carr boyd group in general indicate that the eastern part of the tenement has potential for stratiform copper mineralisation, which initially could be pursued by a detailed stream sediment survey.",2,"potential, mineralisation",2,"potential, mineralisation","there is evidence from rmcs recent stream sediment sampling to suggest that the area has limited potential for gold. cassiterite was found during cras heavy mineral sampling in creeks draining the mount nyulasy granite and these should be followed up with sampling. malachite found by don thompson in a cave within the golden gate formation and the sandstones and shales of the carr boyd group in general indicate that the eastern part of the tenement has potential for stratiform copper mineralisation, which initially could be pursued by a detailed stream sediment survey. introduction torridon exploration was asked by mark hill of rmc initially to undertake a review of the mineral potential of the rmc tenement e80 2389, excluding iron ore.","sediment, sandstones, shales",,,0,"copper, cassiterite, malachite, gold",iron ore,"mount nyulasy granite, carr boyd group, golden gate formation"
a076932_e80_2389 2007a_14087599_78,a076932_e80_2389 2007a_14087599.json,78,"a review of the mineral potential of e80 2389 rc081006r1.doc 2 torridon exploration the bow 1:100 000 geology map, part of which is reproduced in figure 1, shows e80 2389 to cover the palaeoproterozoic mount nyulasy granite which is structurally overlain by the castlereagh hill porphyry.",1,potential,1,potential,"the hco extends from southwest of halls creek north northeast to the west australian border, beyond which the structure is known as the fitzmaurice mobile zone. parts of the hco are unconformably overlain by younger sedimentary basins. a review of the mineral potential of e80 2389 rc081006r1.doc 2 torridon exploration the bow 1:100 000 geology map, part of which is reproduced in figure 1, shows e80 2389 to cover the palaeoproterozoic mount nyulasy granite which is structurally overlain by the castlereagh hill porphyry. these have been intruded by dolerite dykes, bow hill lamprophyre dykes and numerous quartz veins.","quartz veins, lamprophyre, dolerite","halls creek, southwest",,0,,,"castlereagh hill porphyry, mount nyulasy granite"
a076932_e80_2389 2007a_14087599_94,a076932_e80_2389 2007a_14087599.json,94,"1 this is disputed by mark hill who says the iron ore deposits are in fact hosted by the hensman formation a review of the mineral potential of e80 2389 rc081006r1.doc 3 torridon exploration iron exploration, 1962 to 1970 the iron ore exploration undertaken by various companies between 1962 and 1970 is well described in mackay & schnellmann (2003).",1,potential,1,potential,"they had to wait for uranerz to drop the ground before it could be pegged. appendix 1 lists the tenements that covered part of the area now covered by e80 2389 and the companies who held those tenements. 1 this is disputed by mark hill who says the iron ore deposits are in fact hosted by the hensman formation a review of the mineral potential of e80 2389 rc081006r1.doc 3 torridon exploration iron exploration, 1962 to 1970 the iron ore exploration undertaken by various companies between 1962 and 1970 is well described in mackay & schnellmann (2003). the only comment made here is that about the matsu deposit which was visited with a helicopter on the 4th november 2006 and has not been explored since wmcs work in 1963 1964.",,,,0,iron,"iron ore, iron ore deposits",
