event_id,filename,group,sentence_idx,sentence_text,n_trigger_words_in_sentence,trigger_words_in_sentence,n_trigger_words_in_event,trigger_words_in_event,event_text,STRAT,event_label,ROCK,LOCATION,MINERAL,ORE_DEPOSIT,TIMESCALE,reviewed,Near Miss Event,Key trigger phrase,n_trigger_words,polarity,subjectivity,negative,neutral,positive,compound
a077471_e47_1265_2008a_10539959_13,a077471_e47_1265_2008a_10539959.json,0,13,the resulting mineralisation then undergoes burial metamorphism to form microplaty haematite.,1.0,mineralisation,2.0,"enriched, mineralisation",there are two main models for the genesis of these deposits. one model suggests supergene alteration of the bif to develop goethitemartite ores. the resulting mineralisation then undergoes burial metamorphism to form microplaty haematite. the other model puts forward hypogene alteration of martite enriched bif by replacement of the gangue with goethite and or deposition of microplaty haematite.,,0,bif,genesis,"martite, goethite",,,True,False,,,0.02083333333333333,0.35416666666666663,0.0,1.0,0.0,0.0
a077471_e47_1265_2008a_10539959_34,a077471_e47_1265_2008a_10539959.json,0,34,"in october 2007, a helicopter was used to determine potential points of vehicular access into the hamersley range and tenement.",1.0,potential,1.0,potential,"this was commenced in 2006. in addition, aerial photography and shuttle radar (srtm) data of the area was purchased. in october 2007, a helicopter was used to determine potential points of vehicular access into the hamersley range and tenement. mount elvire project annual technical report e47 1265 10 7.0 results results from the geological interpretation of landsat 7 imagery and purchase of the shuttle radar digital terrain model data are illustrated in figures 2, 3 and 4.",,0,,hamersley range,,,,True,False,,,0.0,0.3666666666666667,0.0,1.0,0.0,0.0
a077471_e47_1265_2008a_10539959_37,a077471_e47_1265_2008a_10539959.json,0,37,"the helicopter reconnaissance found a potential vehicular route, that can be attempted next dry field season, following a drainage system between the fortescue valley and the bottom south east edge of the tenement.",1.0,potential,1.0,potential,"mount elvire project annual technical report e47 1265 10 7.0 results results from the geological interpretation of landsat 7 imagery and purchase of the shuttle radar digital terrain model data are illustrated in figures 2, 3 and 4. the report for the geological interpretation of the landsat imagery is contained in appendix 3. the helicopter reconnaissance found a potential vehicular route, that can be attempted next dry field season, following a drainage system between the fortescue valley and the bottom south east edge of the tenement. sheet sf 50 11 (2nd edition): western australia geological survey, 1:250 000 geological series.",,0,,western australia,,,,True,False,,,-0.008333333333333331,0.22500000000000003,0.0,1.0,0.0,0.0
a077471_e47_1265_2008a_10539959_45,a077471_e47_1265_2008a_10539959.json,0,45,"work done: activity date aerial photography and shuttle radar (srtm) data acquired august 2007 geological interpretation of landsat 7 imagery august 2007 helicopter based reconnaissance of tenement accessibility october 2007 results: the helicopter reconnaissance found a potential vehicular route, that can be attempted next dry field season, following a drainage system between the fortescue valley and the bottom south east edge of the tenement.",1.0,potential,1.0,potential,"geology: the tenement area contains the lower proterozoic stratigraphic sequence from brockman iron formation to woongarra volcanics and minor cainozoic robe pisolite, colluviums and duricrust. the main rock types are banded iron formation, shales, and acidic volcanics. work done: activity date aerial photography and shuttle radar (srtm) data acquired august 2007 geological interpretation of landsat 7 imagery august 2007 helicopter based reconnaissance of tenement accessibility october 2007 results: the helicopter reconnaissance found a potential vehicular route, that can be attempted next dry field season, following a drainage system between the fortescue valley and the bottom south east edge of the tenement. mount elvire project annual technical report e47 1265 1 contents 1.0 summary of exploration activities .","woongarra volcanics, robe pisolite, brockman iron formation",0,"banded iron formation, duricrust, shales, colluviums",,,,"proterozoic, cainozoic",True,False,,,0.00625,0.3041666666666667,0.019,0.964,0.017,-0.0772
a077471_e47_1265_2008a_10539959_79,a077471_e47_1265_2008a_10539959.json,0,79,"the dales gorge member is host to the majority of iron ore mineralisation, with tom price, paraburdoo, whaleback, and rhodes ridge being typical examples.",1.0,mineralisation,2.0,"extensive, mineralisation","of these members, the mount newman member is host to the major deposits presently being mined and consists of a thick succession of bif, shale, and carbonate rocks. the brockman iron formation consists of bif, shale and chert and is divided into the dales gorge, mt whaleback, joffre, and yandicoogina shale members. the dales gorge member is host to the majority of iron ore mineralisation, with tom price, paraburdoo, whaleback, and rhodes ridge being typical examples. during the tertiary, a series of erosion deposition hardpanisation (ferricrete) cycles resulted in the regionally extensive hamersley surfaces that can contain economic detrital iron mineralisation.","dales gorge member, mount newman member, brockman iron formation, yandicoogina shale members",0,"shale, ferricrete, bif, carbonate rocks, chert","tom price, paraburdoo, dales gorge, hamersley",iron,iron ore,tertiary,True,False,,,-0.034027777777777775,0.3347222222222222,0.0,0.982,0.018,0.2023
a077471_e47_1265_2008a_10539959_82,a077471_e47_1265_2008a_10539959.json,0,82,"low, gentle rolling hills with both incised gully type and broad sheet wash type drainages.",1.0,broad,3.0,"extensive, broad, mineralisation","during the tertiary, a series of erosion deposition hardpanisation (ferricrete) cycles resulted in the regionally extensive hamersley surfaces that can contain economic detrital iron mineralisation. these surfaces have subsequently been eroded by the existing drainage system, often preserving remnants of the hamersley surfaces in mesas. low, gentle rolling hills with both incised gully type and broad sheet wash type drainages. elevation ranges from about 480m to 550m.",,0,ferricrete,hamersley,iron,,tertiary,True,False,,,0.07708333333333334,0.3326388888888889,0.03,0.928,0.042,0.2023
a082077_e59_1090_2008a_verificationreport_12775892_4,a082077_e59_1090_2008a_verificationreport_12775892.json,0,4,conclusion moderate to low potential for gold mineralisation.,2.0,"potential, mineralisation",2.0,"potential, mineralisation",results seven aeromagnetic targets delineated within or partially within e59 1090. only four previous soil samples reported >15 ppb au and these form single point anomalies. conclusion moderate to low potential for gold mineralisation. stratigraphic and structural targets should be followed up by field investigations including soil sampling.,,0,,,gold,,,True,True,followed up by field investigations,,-0.04829931972789116,0.5258503401360544,0.043,0.957,0.0,-0.2732
a084941_p28_1031_2009a_15119260_14,a084941_p28_1031_2009a_15119260.json,0,14,future exploration of the tenement area should include further geochemical sampling to identify possible targets after which an aircore programme could should be designed.,1.0,possible,1.0,possible,most assays on e28 435 returned values of between 0ppm and 9ppm; with some assays as high as 20ppm. no significant soil anomalies appeared to be present on e28 435. future exploration of the tenement area should include further geochemical sampling to identify possible targets after which an aircore programme could should be designed. p28 1031_kurnalpi project_annual report_2009 1.0 introduction this report details exploration undertaken on p28 1031 by carrick gold limited for the period ending 12 july 2009.,,0,,,gold,,,True,True,future exploration,,0.05013392857142858,0.46035714285714285,0.048,0.855,0.097,0.4939
a084941_p28_1031_2009a_15119260_25,a084941_p28_1031_2009a_15119260.json,0,25,work done: review of data results: n a conclusions: potential targets to be identified by mapping of geochemical samples.,1.0,potential,1.0,potential,geology: the kurnalpi property is located on the norseman wiluna greenstone belt. the greenstone belt trends north northwest with komatiitic ultramafic unit approximately 100m wide within a sequence of metabasic units. work done: review of data results: n a conclusions: potential targets to be identified by mapping of geochemical samples. follow up with infill geochemical sampling and or aircore programme s.,greenstone belt,0,,"wiluna, norseman, kurnalpi",,,,True,True,potential targets,,-0.16666666666666666,0.6666666666666666,0.0,1.0,0.0,0.0
a084941_p28_1031_2009a_15119260_37,a084941_p28_1031_2009a_15119260.json,0,37,bedrock gold mineralisation is associated with the major avoca shear zone and with the northeast trending faults.,1.0,mineralisation,1.0,mineralisation,late stage northeast trending faults cross cut the avoca shear zone and east to east southeast trending thrust faults are interpreted as being present in the north to the south of an intrusive granite. tertiary and quaternary deposits of various origins cover the bedrock sequence and dominate much of the area where outcrops are generally sparse. bedrock gold mineralisation is associated with the major avoca shear zone and with the northeast trending faults. gold derived from the bedrock structures has entered the alluvial sequences and was a major source of the gold produced during the active mining period at kurnalpi.,,0,"bedrock, granite",kurnalpi,gold,,"tertiary, quaternary",True,False,,,-0.006481481481481477,0.37777777777777777,0.119,0.856,0.025,-0.8481
a084941_p28_1031_2009a_15119260_40,a084941_p28_1031_2009a_15119260.json,0,40,nickel mineralisation is present mainly in the west of the kurnalpi property where it is present both in the laterite weathering profile overlying ultramafic sequences and also in the bedrock.,1.0,mineralisation,1.0,mineralisation,gold derived from the bedrock structures has entered the alluvial sequences and was a major source of the gold produced during the active mining period at kurnalpi. the gold was noted as being coarse grained and nuggety in distribution. nickel mineralisation is present mainly in the west of the kurnalpi property where it is present both in the laterite weathering profile overlying ultramafic sequences and also in the bedrock. outcrop is poor over the project area due to deep weathering profiles and thin soils covering the over 95% of the bedrock.,,0,"bedrock, laterite",kurnalpi,"nickel, gold",,,True,False,,,-0.08291666666666667,0.41583333333333333,0.033,0.938,0.029,-0.1027
a084941_p28_1031_2009a_15119260_54,a084941_p28_1031_2009a_15119260.json,0,54,5.0 conclusions and recommendations future exploration of the tenement area should include further geochemical sampling to identify possible targets after which an aircore programme could should be designed.,1.0,possible,1.0,possible,most assays on e28 435 returned values of between 0ppm and 9ppm; with some assays as high as 20ppm. no significant soil anomalies appeared to be present on e28 435. 5.0 conclusions and recommendations future exploration of the tenement area should include further geochemical sampling to identify possible targets after which an aircore programme could should be designed.,,0,,,,,,True,True,future exploration,,0.0675,0.5057142857142857,0.035,0.863,0.102,0.4939
a081490_nwb040507_thooto well soil_12651524_3,a081490_nwb040507_thooto well soil_12651524.json,0,3,"the sinclair nis deposit (33,000t of contained ni) and the mineralisation at stirling, skye and schmitz well all lies on this trend.",1.0,mineralisation,1.0,mineralisation,"the latter are interpreted to have formed from a continuous channelized flow (hill et al., 1995), which is a regime conducive to the formation of ni sulphide deposits. nickel cr data from yackabindie (naldrett and turner, 1977), mt keith (dowling and hill, 1990), kingston and hooneymoon well (hill and gole, 1989) cluster on, or close to, an olivine liquid mixing trend and extend along the ni rich leg, indicating a mineralised komatiite sequence (barnes and brand, 1996). the sinclair nis deposit (33,000t of contained ni) and the mineralisation at stirling, skye and schmitz well all lies on this trend. limited data from fly bore, marshall pool and mt clifford (donaldson, 1983) are cr rich, indicating cumulus chromite.",,0,komatiite,sinclair,"olivine, nickel, sulphide, chromite",,,True,False,,,0.2957142857142857,0.5085714285714286,0.053,0.843,0.104,0.7506
a081490_nwb040507_thooto well soil_12651524_37,a081490_nwb040507_thooto well soil_12651524.json,0,37,define potential areas which may be host to nis within the area sampled and define areas of interest for potential au mineralization.,1.0,potential,1.0,potential,"the thooto pooll region is located approximately 80km sse of leinster town site, 8km nnw of the sturt meadows homestead site. a 250m soil survey was undertaken over a portion of e37 798 which forms part of the sturt meadows project to: map out the exposed and subcropping lithologies within the tenement (e37 798) and provide a comprehensive data set to aid in geological mapping. define potential areas which may be host to nis within the area sampled and define areas of interest for potential au mineralization. map out mineralization lithological trend through shallow cover and provide a comprehensive data set for regolith mapping.",,0,regolith,"homestead, leinster",,,,True,True,potential areas,,-0.18333333333333335,0.775,0.012,0.92,0.067,0.6908
a082735_p7703571_2009s_12406495_5,a082735_p7703571_2009s_12406495.json,0,5,the review indicated that p77 3571 has low residual exploration potential for economic nickel sulphide and gold deposits.,1.0,potential,1.0,potential,western areas nl is exploring the mt holland bear project area for komatiitehosted nickel sulphides deposits and mesothermal gold deposits. exploration activities completed within p77 3571 for the exploration period ending 8th june 2009 consisted of a review of historical exploration activities and results. the review indicated that p77 3571 has low residual exploration potential for economic nickel sulphide and gold deposits. 2 introduction this is the final surrender report for p77 3571 for the period 5th may 2008 to 8th june 2009.,,0,,,"sulphides, nickel","gold deposits, nickel sulphide and gold deposits",,True,True,low residual exploration potential,,0.03333333333333333,0.4166666666666667,0.025,0.887,0.089,0.5423
a082735_p7703571_2009s_12406495_19,a082735_p7703571_2009s_12406495.json,0,19,the previous work has identified low grade cu mo au sulphide mineralisation hosted by the bent bear schist that dips shallowly towards the east and extends outside of the tenement block at shallow depths.,2.0,"low grade, mineralisation",2.0,"low grade, mineralisation","the last available public domain mineral exploration report detailing previous exploration activities in the area was by viceroy australia in 2001 around the time it went into voluntary administration. the previous exploration tenements covering wanls bent bear project tenement areas were relinquished in november 2005 and wanl made its mt holland bear tenement applications shortly thereafter in december 2005. the previous work has identified low grade cu mo au sulphide mineralisation hosted by the bent bear schist that dips shallowly towards the east and extends outside of the tenement block at shallow depths. an overlying tremolitic ultramafic unit, exposed along the eastern margin of the tenement block, also dips towards the east and outside of the tenement block at shallow depths.",,0,schist,australia,sulphide,,,True,True,previous work,,-0.0846153846153846,0.2487179487179487,0.092,0.853,0.055,-0.7096
a082735_p7703571_2009s_12406495_31,a082735_p7703571_2009s_12406495.json,0,31,"the low grade cu mo au sulphide mineralisation hosted by the bent bear schist outcrops along the eastern margin of wanls bent bear tenement block and dips shallowly towards the east outside of the tenement block area, ie, only the shallowest portions of the mineralisation are contained within wanls tenement block.",2.0,"low grade, mineralisation",2.0,"low grade, mineralisation","there are also small outcrops of bif chert, quartzite, felsic schist and mafic schist that dip at 30 40o towards the ne. this area covers the bent bear schist cu moau prospect. the low grade cu mo au sulphide mineralisation hosted by the bent bear schist outcrops along the eastern margin of wanls bent bear tenement block and dips shallowly towards the east outside of the tenement block area, ie, only the shallowest portions of the mineralisation are contained within wanls tenement block. the bent bear schist is a distinctive metasedimentary or metavolcanic unit sandwiched between underlying (basal) tholeiitic mafic schists and overlying tremolite rich rocks (ultramafics).",,0,"mafic schist, chert, bif, mafic schists, quartzite, schist, metasedimentary, felsic schist",,"tremolite, sulphide",,,True,False,,,-0.03472222222222221,0.5,0.093,0.858,0.05,-0.6124
a082735_p7703571_2009s_12406495_38,a082735_p7703571_2009s_12406495.json,0,38,"7 conclusions and recommendations a review of previous exploration data indicated that; i) the bent bear tenement block (p77 3570, p77 3571 and e77 1309) has been comprehensively explored for both nickel and gold by previous explorers; and ii) there is very low residual exploration potential for the discovery of economic nickel sulphide and gold deposits within this tenement block.",1.0,potential,1.0,potential,"6 work completed exploration activities completed within the tenement block for the annual exploration period ending 4th may 2009 consisted of a review of previous exploration activities and results. the results of this work are summarised in section 4 and contributed to section 5 of this report. 7 conclusions and recommendations a review of previous exploration data indicated that; i) the bent bear tenement block (p77 3570, p77 3571 and e77 1309) has been comprehensively explored for both nickel and gold by previous explorers; and ii) there is very low residual exploration potential for the discovery of economic nickel sulphide and gold deposits within this tenement block. table 1 tenement statu.",,0,,,"nickel, gold",nickel sulphide and gold deposits,,True,True,low residual exploration potential for the discovery of economic ,,-0.049999999999999996,0.3483333333333334,0.096,0.822,0.082,-0.5563
a075730_e09 781_ 2007 annual report_16120922_1,a075730_e09 781_ 2007 annual report_16120922.json,0,1,"previous exploration has been directed toward chrome, nickel, copper, platinum and gold mineralisation.",1.0,mineralisation,1.0,mineralisation,"the byro ultramafic has been subject to exploration by a number of companies since 1969. previous exploration has been directed toward chrome, nickel, copper, platinum and gold mineralisation. with the exception of jododex australia pty ltd (19701974) and wmc resources ltd (19761979), there was little substantive exploration by the other explorers until the area was acquired by yilgarn in 2002.",,0,,australia,"copper, nickel, gold, platinum",,,True,False,,,-0.16145833333333331,0.34375,0.0,0.887,0.113,0.6124
a075730_e09 781_ 2007 annual report_16120922_23,a075730_e09 781_ 2007 annual report_16120922.json,0,23,"a dyke with local swellings suggests a possible analogy with the famous jinchuan intrusion which hosts one of the worlds largest nickel deposits (chai and naldrett, 1996).",1.0,possible,1.0,possible,"shear with this direction and sense could generate a nw trending tension gash, which could accommodate magma. continued shearing would rotate an intruding dyke (particularly its tails) clockwise giving a sigmoidal shape similar to that revealed by geological mapping. a dyke with local swellings suggests a possible analogy with the famous jinchuan intrusion which hosts one of the worlds largest nickel deposits (chai and naldrett, 1996). 5 e09 781 annual technical report, year ending 16th june, 2007 6 e09 781 annual technical report, year ending 16th june, 2007 recent mapping shows that the metasediments around the main ultramafic comprise pelites and sandstones.",,0,sandstones,,,nickel deposits,,True,False,,,0.09259259259259259,0.3907407407407408,0.023,0.952,0.024,0.0258
a075730_e09 781_ 2007 annual report_16120922_26,a075730_e09 781_ 2007 annual report_16120922.json,0,26,"it is possible that intrusion of the ultramafic magma through this sediment pile could have contaminated it with sulphur and felsic material, facilitating sulphide segregation.",1.0,possible,1.0,possible,"5 e09 781 annual technical report, year ending 16th june, 2007 6 e09 781 annual technical report, year ending 16th june, 2007 recent mapping shows that the metasediments around the main ultramafic comprise pelites and sandstones. the pelites include quartz muscovite schists and knotted schists and a banded iron marker bed. it is possible that intrusion of the ultramafic magma through this sediment pile could have contaminated it with sulphur and felsic material, facilitating sulphide segregation. the knotted schists indicate the host metasediments have undergone amphibolite facies metamorphism, where as the ultramafic appears to be lower grade (i.e.",,0,"sediment, amphibolite, schists, sandstones",,"sulphur, sulphide, quartz, iron, muscovite",,,True,False,,,0.027777777777777776,0.3138888888888889,0.023,0.977,0.0,-0.296
a075730_e09 781_ 2007 annual report_16120922_69,a075730_e09 781_ 2007 annual report_16120922.json,0,69,should analytical results prove promising then ground em over areas not previously covered will be likely.,1.0,promising,1.0,promising,preliminary results indicate the presence of ultramafic bodies not covered with ground em. once analytical results are returned a decision will be made as to what sort of follow up is required. should analytical results prove promising then ground em over areas not previously covered will be likely. the byro project is based on an ultramafic complex that occurs within a metasedimentary and gneissic terrane.,,0,metasedimentary,,,,,True,False,,,-0.004166666666666666,0.5166666666666666,0.0,0.958,0.042,0.4019
a075730_e09 781_ 2007 annual report_16120922_81,a075730_e09 781_ 2007 annual report_16120922.json,0,81,subeconomic chromite seams are known at imagi (sometimes spelt iniagi) and taccabba.,1.0,subeconomic,1.0,subeconomic,"most of these ultramafics were subjected to reconnaissance exploration for nickel during the late 1960s and early 1970s. nickel gossans were noted at byro east (also called meegea) and copper gossans documented at byro west, but no significant nickel or copper deposits have been discovered. subeconomic chromite seams are known at imagi (sometimes spelt iniagi) and taccabba. anomalous platinum and palladium geochemistry was reported in the 1970s at byro, meegea and erong, but the old analyses are unreliable.",,0,gossans,,"chromite, copper, platinum, nickel, palladium",copper deposits,,True,True,old analyses are unreliable,,0.04250000000000001,0.4950000000000001,0.034,0.921,0.045,-0.0387
a075730_e09 781_ 2007 annual report_16120922_85,a075730_e09 781_ 2007 annual report_16120922.json,0,85,"the surrounding rocks are archaean, however if the ultramafics within this region of the yilgarn block are intrusive, it is possible that they are younger.",1.0,possible,1.0,possible,"more recently platinum australia has discovered pge anomalies at imagi, south west of the byro project. the age of the byro project ultramafic bodies is unknown. the surrounding rocks are archaean, however if the ultramafics within this region of the yilgarn block are intrusive, it is possible that they are younger. they could also be related to and are of similar age to the proterozoic ultramafic bodies in the adjacent gascoyne orogen.",,0,unknown,"gascoyne, yilgarn block, australia, south west",platinum,pge,"proterozoic, archaean",True,False,,,0.05714285714285715,0.45,0.039,0.961,0.0,-0.4404
a075730_e09 781_ 2007 annual report_16120922_99,a075730_e09 781_ 2007 annual report_16120922.json,0,99,as the main ultramafic body is only sparsely vegetated four wheel drive access to most of the body is possible except where prevented by large boulder rubble.,1.0,possible,1.0,possible,the byro project area is approximately 28 kilometres east of the station along a pastoral track past deep well and melun bore. station tracks and existing exploration tracks provide reasonable access within the licence except after heavy rain as unsealed roads and tracks become impassable. as the main ultramafic body is only sparsely vegetated four wheel drive access to most of the body is possible except where prevented by large boulder rubble. the smaller eastern ultramafic bodies are in more heavily vegetated terrain dissected by numerous creeks making vehicular access difficult.,,0,,boulder,,,,True,True,vehicular access difficult,,0.0020634920634920563,0.5741269841269842,0.048,0.899,0.054,-0.1027
a075730_e09 781_ 2007 annual report_16120922_113,a075730_e09 781_ 2007 annual report_16120922.json,0,113,it will encompass possible strike extensions of the main byro ultramafic complex and also prospective small satellite ultramafic bodies in the surrounding gneiss terrane.,1.0,possible,1.0,possible,"1 e09 781 annual technical report, year ending 16th june, 2007 this core tenement has since been surrounded by a yilgarn application for a second exploration licence. it comprises 68 graticular blocks and has an area of 209.24 square kilometres. it will encompass possible strike extensions of the main byro ultramafic complex and also prospective small satellite ultramafic bodies in the surrounding gneiss terrane. early in 2006 mithril resources entered into an agreement whereby they could earn 75% equity in the project.",,0,gneiss,,,,,True,False,,,-0.04047619047619048,0.3619047619047619,0.041,0.898,0.061,0.4019
a075730_e09 781_ 2007 annual report_16120922_124,a075730_e09 781_ 2007 annual report_16120922.json,0,124,"it is expected, however, that elevated nickel and chrome values will be returned as silicified caps overlying possible ultramafic bodies were identified at a number of sampling locations.",1.0,possible,1.0,possible,"a total of 56 rockchip samples were collected from the project area predominantly over the areas highlighted in figure 4. no analytical results were available at the time of writing and will be reported in the future. it is expected, however, that elevated nickel and chrome values will be returned as silicified caps overlying possible ultramafic bodies were identified at a number of sampling locations. exploration activity during 2006 2007 included completion of a fixed loop em survey using geoferret.",,0,,,nickel,,,True,False,,,0.06666666666666667,0.4791666666666667,0.027,0.9,0.073,0.4019
