index,event_id,filename,anumber,sentence_count,report_type,idx,event_text,triggers,label,confidence,user,lower_idx,upper_idx
90785,a093121_ch annual report 2011 md_14901539_37,a093121_ch annual report 2011 md_14901539.json,93121,159,Annual,37,"A number of tenements have been surrendered or partially surrendered during the reporting period. The Project includes the Main Grid, Dalgety, Impala, Firebird, Baracuda, and Challenger Prospects as illustrated in Figure 2 above. The Yalbra prospect has been surrendered. The Dalgety Prospect is divided into Jacko, Minmin, Saucerer and Snowbird prospects (see Figure 4 below). Challenger is situated on E09/1712 and consists of a 100m wide zone of quartz veining and quartz sericite schists adjacent to a gneiss.",prospect,False,High,daniel,37,37
107321,a097961_e70_2514_2013a_15365814_29,a097961_e70_2514_2013a_15365814.json,97961,41,Annual,29,"5.0 Conclusions and Recommendations E70/2514 is located almost wholly within the Archean Yilgarn craton. There are no significant structural breaks visible on the images; however there are positive anomalies which seem related to lithologies and zones which could result from magnetite destruction. In the absence of any significant mineralisation, some broad-scale stream-sediment sampling, collecting possibly HMCs or iron fractions in the area of the Ongerup-Jerramungup-Needilup roads is recommended to test for local anomalous geochemistry. The results should indicate what further work is warranted on the tenement. No priority targets are immediately apparent in E70/2514 and Galaxy expects to relinquish further blocks of the tenement at the end of the next reporting period.","significant, mineralisation, broad, possibly, anomalous",False,High,daniel,29,31
122783,a075636_tindals_2007_atr_14557763_23,a075636_tindals_2007_atr_14557763.json,75636,425,Annual,23,"A helicopter-borne time domain electromagnetic geophysical survey was flown over 1,405 line-km of the RJV tenements. Numerous prospective electromagnetic and magnetic targets have been identified by the survey. Gold in the Coolgardie goldfield district was first discovered in 1892 the year before gold was discovered in the Golden Mile area of Kalgoorlie. The district is represented by a cluster of gold mines that historically have produced in excess of 2.5 million ounces of gold since 1892, with more than 1.0 million ounces produced since 1980. Matador has completed a purchase and option deal with Focus whereby Matador has earned into a 50% interest of a 210 km2 tenement package (including both the Tindals Project tenements along with other Focus tenements and tenements formerly held by MPI-Herald) that has yielded the bulk of the historic gold produced in the district to date.","discovered, discovered",False,High,daniel,23,23
125671,a102376_verification_report_gr_e80_4546_2014a_8457064_10,a102376_verification_report_gr_e80_4546_2014a_8457064.json,102376,18,Annual,10,"Two small bodies have been discovered to date to the north of Gryzlly Resources tenement indicating the presence of intrusive volcanic rocks. In most cases a number of kimberlite intrusive bodies occur in a area classed as a kimberlite field or cluster. Most of these are generally barren or ub economic with a small number potentially containing commercial grade, size distribution and qualities of diamonds. The results of exploration to date indicate that Gryzlly Resources tenement is in a highly prospective area. The initial preparation work was conducted in time, however adverse market conditions prevented the company from carrying the reconnaissance trip before the wet season. This report is presented in accordance with the annual reporting requirements for the Department of Mines & Petroleum (DMP). No heritage areas were disturbed during the work programme.","discovered, indicating the presence",True,High,daniel,8,14
128062,a074936_c21-2007 a06_15867298_246,a074936_c21-2007 a06_15867298.json,74936,420,Annual,246,"Neither prospect shows a substantial gold-in-calcrete anomaly although some of the highest Sb results in calcrete sampling occur in close proximity to the shear zone over the length of both the prospects. The controlling shear can be traced at least a further 1 km north and south beyond the identified prospect areas. Given the discovery of unusual strongly oxidized intrusive rocks associated with strong aeromagnetic anomalies, a modelling exercise was conducted over three prospects at Plato, Descartes and Socrates, all located within the Greater Socrates mapping area in the northwestern portions of E28/1484. Input data was the ultra-detailed magnetic survey flown by previous explorers WMC (Karonie 60313), which became available on open file in 2006.Modelling was conducted by Southern Geoscience Consultants. Their report and a clarification memo are included in Appendix 5.",prospects,False,High,daniel,246,246
139632,a093168_wodgina_p45-2598_cr668_a_2012_15298761_10,a093168_wodgina_p45-2598_cr668_a_2012_15298761.json,93168,58,Annual,10,"The Greenstone Belt is dominated by Warrawoona Group mafic volcano-sediments, clastic sediments tentatively assigned to the Corboy Formation and BIFs and cherts of the Cleaverville Formation. However no definitive facings were mapped, mainly because of the amphibolite facies metamorphism, strong metamorphic fabric and complex folding. Correlations therefore remain tentative. In-situ iron enrichment of iron rich sediments stratabound within the Cleaverville Fm. Typically the host meta-BIFs and meta-cherts are thickened by strong folding which is likely to have enhanced permeability to descending oxygenated meteoric fluids.",correlations,False,High,daniel,10,10
141635,a103289_gswa_2014_atr_c106_2007_11391868_109,a103289_gswa_2014_atr_c106_2007_11391868.json,103289,164,Annual,109,"Limited drilling at the Pleiades, Big Lunch and Billy Tea prospects highlighted the potential for large magnetite development in this part of the 20 kilometre long belt. Many other DSO hematite, CID, DID (Detrital iron ore) and magnetite targets will need to be priority rated prior to any further drill testing. 5.2 Recommendations Following the acceptance of the 1 year term of extension, Trafford plans on further defining the resource at the Woolbung Peak Prospect, as well as complete the first pass drilling at the Three Ays Prospect. This drill program, associated with the appropriate metallurgy and pre-feasibility studies, would enable TRF to earn 80% equity in the Twin Peaks JVA tenements. Trafford Resources Ltd. Twin Peaks Project Annual Mineral Exploration Report 2013 Page 35 6 References Baxter, C., 1997 Annual Report for Twin Peaks E59/656 for the Period 22 March 1996 to 21 March 1997.","prospect, prospect",False,High,daniel,109,109
145245,a080269_c75_2008_2008a_18609028_208,a080269_c75_2008_2008a_18609028.json,80269,215,Annual,208,"Results: No previous exploration data focusing on oil shale or lignite for the project area were found. Published GSWA geological mapping and a regional digital elevation model confirm that the area is in a favourable setting for the formation of oil shale and lignite-bearing units. Basalt in the northeastern part of the project area may also contain small pegmatite dykes that bear occurrences of tin and tantalum. In addition, the project area might be prospective for Mulga Rocks style uranium deposits. Conclusions: Heron is currently in negotiations to transfer the rights to the licences to an interested party. ii Heron Resources Ltd, Mount Deans Project (C75/2008) Annual Report 2008",favourable,True,Medium,daniel,205,210
160515,a092140_e77-1283_2011_12611645_2,a092140_e77-1283_2011_12611645.json,92140,151,Final Surrender,2,"Abeysinghe, P. B., Flint, D. J., Luckett, J., McGuinness, S. A., Pagel, J., Townsend, D. B., and Vanderhor, F., 2002: Geology and mineral Resources of the Southern Cross Esperance Region of Western austral, Geological Survey of Western Australia Record 2002/3. Agg, W., 1984: Progress Report to September 30th 1984, Colreavy PLs, Consolidated Gold Fields Australia Report (unpublished). Coles, I., 1975: Mt Colreavy Nickel Prospect, Yilgarn Goldfield, Western Australia, July 1975, Carpentaria Exploration Company Pty Ltd Report (unpublished). DArcy, W., 2006a: Monthly Report for Various Project, November 2006, Polaris Metals NL Report (unpublished) DArcy, W., 2006b: Monthly Report for Various Project, October 2006, Polaris Metals NL Report (unpublished). DArcy, W., 2006c: Monthly Report for Various Projects, August 2006, Polaris Metals NL Report (unpublished).",prospect,False,High,daniel,2,2
186454,a098518_yandal homestead_c49-2006_2013a _14477388_246,a098518_yandal homestead_c49-2006_2013a _14477388.json,98518,356,Annual,246,"This is the Combined Annual Report for Enterprise Metals Limited (Enterprise) Yandal Homestead Reporting Group C49/2006. Tenements E37/1009 and E37/818, part of this Combined Reporting Group have already been relinquished and have separate surrender reports previously submitted to the DMP. The Yandal Homestead Project is located in the eastern Yandal Greenstone Belt, 22km southeast of the Bronzewing Gold Mine and is considered prospective for Archaean vein/lode style gold deposits. During the reporting period the following work was undertaken: Ongoing literature review of previous exploration reports. Final results and reporting of a Hylogger spectral survey of selected rock chip samples from historic drillholes.",prospective,False,High,daniel,246,246
187693,a088666_c28_1997_2010_a_01_report_13922512_1343,a088666_c28_1997_2010_a_01_report_13922512.json,88666,1704,Annual,1343,"The potentially high pressure that would be required for direct sparging may limit the use of conventional single stage blowers normally used in acid plant applications. 1 Cansolv is a commercially available regenerative scrubbing system. MtThirsty_SO2andH2SO4Options_Rev0 11.Dec.2009 11 To overcome this potential issue, AkerSolutions have selected a liquid ring compressor for the compression of the recovered SO2 from the Cansolv system. These have a high power demand per unit volume, however, become economic when gas volume is low as in the case of high SO2 gas concentrations as in the case of regenerative amine scrubbing. If the regenerative scrubbing option is pursued further in the next phase, a more detailed investigation of compressor options will be required.",potential,False,High,daniel,1343,1343
200441,a090961_chiarcono_e70_3919_2011p_16736013_41,a090961_chiarcono_e70_3919_2011p_16736013.json,90961,62,Partial Surrender,41,"Kenecott Exploration Australia PL explored for copper at the Arrino prospect in the 1970s. The lack of outcrop within most of the South West Terrane, predominantly freehold farmland, acted as a disincentive for the early prospectors, who neglected the region in favour of the traditional mining areas of Southern Cross and the Eastern Goldfields where it was much easier to conduct prospecting activities with a higher chance of success. Exploration during the nickel boom of the late 1960s was constrained by the lack of airborne geophysical data at resolutions that could be used for exploration purposes. The underexplored nature of the terrain is a positive feature of the region because although the number of discovered mineral deposits is small, there are some significant examples and it is likely that more will be discovered with persistence. Exploration by Magnetic Resources NL In 2010 Magnetic acquired exploration licences in the Dalwallinu area including E70/3919 based on a review of regional open-file data, with a primary focus on the bauxite potential.",could be,False,High,daniel,41,41
224878,a081920_c89_2004_igr_boorara_2009a_16039996_30,a081920_c89_2004_igr_boorara_2009a_16039996.json,81920,779,Annual,30,Other areas where drilling has been only on east-west grids may be underestimated. A number of explorers have carried out detailed mapping. Conversion to digital format and comparison of all versions would provide a potentially useful resource for modelling and drill hole planning. Several of the known mineralised areas do not outcrop on surface. The depth of cover in the southern portion of the southern stockwork is only 20 to 30 metres.,potentially,False,High,daniel,30,31
227250,a085045_birrindudu e80 3553_e80 3554_2009_p_01_reportbody_15356960_56,a085045_birrindudu e80 3553_e80 3554_2009_p_01_reportbody_15356960.json,85045,98,Partial Surrender,56,"Mineralization at the Killi Killi Hills prospect is associated with xenotime enrichment and is confined to the basal 6 m of the sandstone (Vallini et al., 2007). Mineralized rocks include pebbly coarse lithic sandstone, conglomerate, thinly interbedded micaceous siltstone and fine-grained lithic sandstone. Twelve uranium occurrences have been delineated in the western part of the Birrindudu Basin (Hassan, 2000). The majority of these are in the basement rocks at or just below the Gardiner Sandstone. It is also worthy noting that although these occurrences have many characteristics of unconformity-type uranium deposits all are uneconomic.",delineated,False,High,daniel,54,58
233878,a075513_caz_jil_c104-2006_text2007an_11291583_3,a075513_caz_jil_c104-2006_text2007an_11291583.json,75513,110,Annual,3,"The Mining Centre is located outside E 51/1114 and included producers like: Big Ben, Little Ben and Cashmans Reward to the north and Dorothy and Margueritta Mines to the south. No production figures are recorded from the Chesterfield/Universal Milling, Chesterfield/Rumble and Honey, Chesterfield/ Rumble or Hewitt Find historic gold mining prospects located within E 51/1114. Gold mineralisation at the Jillewarra Gold Mine is contained within quartz-sulphide veins hosted by highly weathered metabasalts, amphibole-chlorite schists and quartz-sericitecarbonate schists, whilst the Wardabie Gold workings are hosted by talc-chlorite-amphibolite schists. The Jillewarra Mining Centre produced a total of 171 627 grams of gold (Elias, 1982). The main workings of the Jillewarra and Wardabie Mining Centres are excised from E 51/1091.",mineralisation,False,High,daniel,1,5
234677,a089905_pt11_el4501772_el4501775_annual_report_11feb2010_to_10feb2011_12797912_169,a089905_pt11_el4501772_el4501775_annual_report_11feb2010_to_10feb2011_12797912.json,89905,226,Annual,169,"Figure 8: 2010 Restricted areas and sampling locations Outcrop sampling The helicopter supported sampling program was carried out from 17 November to 01 December 2010. 521 observation stations were recorded and 253 outcrop assay samples are collected. Several prospects were outlined after the reconnaissance. Prior to submitting the samples to the laboratory, the magnetic susceptibility and SWIR spectroscopy measurements (obtained with an ASD instrument) were recorded. Table 3: Paterson project Fieldwork 2010, Magnetic susceptibility results Table 4: Paterson project Fieldwork 2010, Spectroscopy ASD results Petrographical analysis Two thin sections of sandstone containing black bands were sent to Pontifex & Associates Pty Ltd for petrographical analysis.",prospects,False,High,daniel,169,169
236782,a100011_e37_895 surrender report_16867375_28,a100011_e37_895 surrender report_16867375.json,100011,43,Final Surrender,28,"Sampling was completed on 25m-50m spacing along east west lines over outcropping ground and recent regolith. An InnovX XRF was used for 33 element analysis at each site. Elements considered more important for gold pathfinder geochemistry in the Yandal belt include As, Bi, W, Sb, Ag, Au and S. Other anomalous elements which may indicate the potential for massive sulfide mineralisation include Cu, Ni, Co, and Pb. Figure 2 below shows sample sites. Figure 3: Portable XRF Soil Sample Sites on 100k Surface Geology Two prospective zones were identified from this first pass soil survey.","anomalous, may indicate, potential, mineralisation",False,High,daniel,28,28
241805,a094150_e26_132_2012_a_16573106_70,a094150_e26_132_2012_a_16573106.json,94150,101,Annual,70,"The best assay results in the hole came from the interval 44-56m. The assays were from 4m. No significant Ni assays were recorded. In hole LFRC003 the geologic log is serpentinised ultramafics from 70 to 150m, overlying dolerite intruded ultramafic. In hole AFR0006 the section is logged as ultramafic from 50 to 80m.",significant,False,High,daniel,70,70
243648,a079305_c113-2000_2008 hig ann rpt 200808_17277122_50,a079305_c113-2000_2008 hig ann rpt 200808_17277122.json,79305,395,Annual,50,"The quartz veins are typically 1-50cm thick, but in places are observed up the 3m. The veins occasionally shown evidence of being sheared, with these the order of 20-40cm thick. The Veins show some variable deformation suggesting protracted vein formation, although they occur late in the overall timing of mineralisation. Accessory minerals observed are pyrite, scheelite, and chalcopyrite. Grades have been observed up to 270g/t over the width of the veins.",mineralisation,False,High,daniel,50,50
250226,a072943_e39_907_2006a_15704492_60,a072943_e39_907_2006a_15704492.json,72943,128,Annual,60,"Adcumulates have little or no intercumulus material, whilst orthocumulates exhibit high proportions of trapped intercumulus material. Mesocumulates are the intermediate case, where olivine crystals have extensive mutual boundary contact but also contain some inter-crystal material. An idealised komatiitic sheet flow stratigraphic succession in descending order is: gabbro (non cumulate) pyroxene cumulates olivine orthocumulate, thin heterogeneous units olivine mesocumulate, upper olivine adcumulate, thick uniform sheet flow sequence basal olivine mesocumulate basal thin unit olivine orthocumulate All of Australias producing komatiite-hosted nickel sulphide deposits lie within the Archaean Yilgarn Craton, mainly restricted to greenstone successions in the Eastern Goldfields and Southern Cross terranes that contain significant volumes of komatiites. The Eastern Goldfields terrane hosts the greatest concentration of Archaean komatiitehosted nickel deposits in the world, with the bulk of past production from the worldclass deposits at Kambalda (>2Mt Ni). Further to the north, the Agnew-Wiluna district hosts large, low-grade disseminated sulphide deposits (i.e.",significant,False,High,daniel,60,60
252887,a082011_gw_c312006_09f_14863516_30,a082011_gw_c312006_09f_14863516.json,82011,206,Final Surrender,30,"3.5 Mining History The Grattan Well property lies within the Diorite Mining Centre. Where known, production from the various abandoned mines within the property is given in Table 2. This production came from workings on the Grattan Well prospect now within Prospecting Licence Application 37/6566. 4 Previous Exploration 4.1 Regional Exploration 1967 1973 Between the mid 1960s and the early 1970s, substantial though sparsely documented exploration for ultramafic-hosted nickel-copper sulphides was conducted over a large area extending north-northwest of Leonora is known. This survey included the Grattan Well property as a peripheral area but no specific work was carried out over the ultramafic lenses now known to occur within the property.",prospect,False,High,daniel,30,30
